Location,Year,Month,Day,Hour,Cloud_Cover_Fraction,Dew_Point,Humidity_Fraction,Precipitation,Pressure,Temperature,Visibility,Wind_Speed,_Solar_Elevation_,Electricity_KW_HR
Solar Array,2010,1,1,1,1,-8.9,0.805,0,991.2,-6.1,9.656,6.7,NULL,NULL
Solar Array,2010,1,1,2,1,-8.3,0.8437,0,990.9,-6.1,6.437,5.1,NULL,NULL
Solar Array,2010,1,1,3,1,-7.8,0.8443,0,990.9,-5.6,9.656,5.1,NULL,NULL
Solar Array,2010,1,1,4,1,-7.8,0.8066,0,991.6,-5,16.093,5.1,NULL,NULL
Solar Array,2010,1,1,5,1,-7.8,0.8066,0,991.9,-5,16.093,4.1,NULL,NULL
Solar Array,2010,1,1,6,1,-7.8,0.8066,0,991.9,-5,16.093,4.1,NULL,NULL
Solar Array,2010,1,1,7,1,-8.3,0.7759,0,992.6,-5,16.093,5.7,NULL,NULL
Solar Array,2010,1,1,8,1,-8.9,0.7403,0,993.2,-5,16.093,5.7,NULL,NULL
Solar Array,2010,1,1,9,0.25,-10.6,0.7038,0,993.6,-6.1,16.093,7.7,NULL,NULL
Solar Array,2010,1,1,10,0.9,-11.7,0.6445,0,993.9,-6.1,16.093,8.2,NULL,NULL
Solar Array,2010,1,1,11,1,-10.6,0.7038,0,994.9,-6.1,16.093,7.2,NULL,NULL
Solar Array,2010,1,1,12,1,-11.7,0.6445,0,995.2,-6.1,16.093,6.7,NULL,NULL
Solar Array,2010,1,1,13,0.5,-13.3,0.5929,0,995.2,-6.7,16.093,8.2,NULL,NULL
Solar Array,2010,1,1,14,0.25,-13.3,0.5662,0,994.9,-6.1,16.093,6.7,NULL,NULL
Solar Array,2010,1,1,15,0,-16.7,0.4273,0,994.9,-6.1,16.093,6.7,NULL,NULL
Solar Array,2010,1,1,16,0,-15.6,0.4685,0,995.2,-6.1,16.093,6.7,NULL,NULL
Solar Array,2010,1,1,17,0,-15,0.5156,0,995.9,-6.7,16.093,7.2,NULL,NULL
Solar Array,2010,1,1,18,0.9,-15.6,0.5099,0,996.6,-7.2,16.093,7.2,NULL,NULL
Solar Array,2010,1,1,19,1,-15.6,0.5341,0,997.2,-7.8,16.093,7.2,NULL,NULL
Solar Array,2010,1,1,20,0.9,-15,0.5837,0,997.2,-8.3,16.093,4.6,NULL,NULL
Solar Array,2010,1,1,21,1,-15,0.5837,0,997.6,-8.3,16.093,5.1,NULL,NULL
Solar Array,2010,1,1,22,0.9,-15,0.6117,0,997.6,-8.9,16.093,4.6,NULL,NULL
Solar Array,2010,1,1,23,0,-15,0.6671,0,997.6,-10,16.093,5.1,NULL,NULL
Solar Array,2010,1,1,24,0,-15.6,0.6347,0,997.6,-10,16.093,5.1,NULL,NULL
Solar Array,2010,1,2,1,0,-15.6,0.6928,0,997.9,-11.1,16.093,3.1,NULL,NULL
Solar Array,2010,1,2,2,0,-15,0.7281,0,997.6,-11.1,16.093,3.6,NULL,NULL
Solar Array,2010,1,2,3,0.25,-14.4,0.7651,0,997.6,-11.1,16.093,4.6,NULL,NULL
Solar Array,2010,1,2,4,0,-15,0.6997,0,997.9,-10.6,16.093,5.7,NULL,NULL
Solar Array,2010,1,2,5,0.25,-15.6,0.6657,0,997.9,-10.6,16.093,5.7,NULL,NULL
Solar Array,2010,1,2,6,0.25,-16.1,0.6972,0,997.9,-11.7,16.093,5.1,NULL,NULL
Solar Array,2010,1,2,7,0,-17.2,0.6618,0,998.9,-12.2,16.093,5.1,NULL,NULL
Solar Array,2010,1,2,8,0,-18.9,0.6576,0,999.6,-13.9,16.093,6.2,NULL,NULL
Solar Array,2010,1,2,9,0,-19.4,0.6563,0,1000.2,-14.4,16.093,5.7,NULL,NULL
Solar Array,2010,1,2,10,0,-19.4,0.6897,0,1000.9,-15,16.093,5.7,NULL,NULL
Solar Array,2010,1,2,11,0,-20,0.6232,0,1001.5,-14.4,16.093,7.2,NULL,NULL
Solar Array,2010,1,2,12,0,-21.1,0.5435,0,1001.9,-13.9,16.093,8.8,NULL,NULL
Solar Array,2010,1,2,13,0,-21.1,0.5435,0,1001.2,-13.9,16.093,8.8,NULL,NULL
Solar Array,2010,1,2,14,0,-21.1,0.5175,0,1000.5,-13.3,16.093,6.7,NULL,NULL
Solar Array,2010,1,2,15,0,-21.1,0.4733,0,999.9,-12.2,16.093,7.2,NULL,NULL
Solar Array,2010,1,2,16,0,-20,0.5003,0,999.6,-11.7,16.093,7.2,NULL,NULL
Solar Array,2010,1,2,17,0,-20.6,0.4944,0,999.9,-12.2,16.093,6.7,NULL,NULL
Solar Array,2010,1,2,18,0,-20,0.5209,0,1000.2,-12.2,16.093,5.7,NULL,NULL
Solar Array,2010,1,2,19,0,-20,0.5695,0,1000.9,-13.3,16.093,5.7,NULL,NULL
Solar Array,2010,1,2,20,0,-20.6,0.5677,0,1001.2,-13.9,16.093,5.1,NULL,NULL
Solar Array,2010,1,2,21,0,-20.6,0.5915,0,1001.5,-14.4,16.093,5.7,NULL,NULL
Solar Array,2010,1,2,22,0,-20.6,0.6216,0,1001.5,-15,16.093,3.1,NULL,NULL
Solar Array,2010,1,2,23,0,-20.6,0.6811,0,1001.5,-16.1,16.093,2.1,NULL,NULL
Solar Array,2010,1,2,24,0,-20.6,0.7163,0,1001.5,-16.7,16.093,1.5,NULL,NULL
Solar Array,2010,1,3,1,0,-20,0.7546,0,1001.2,-16.7,16.093,1.5,NULL,NULL
Solar Array,2010,1,3,2,0,-20,0.7546,0,1000.9,-16.7,16.093,1.5,NULL,NULL
Solar Array,2010,1,3,3,0,-20,0.7871,0,1000.9,-17.2,16.093,1.5,NULL,NULL
Solar Array,2010,1,3,4,0,-19.4,0.8721,0,1000.9,-17.8,16.093,1.5,NULL,NULL
Solar Array,2010,1,3,5,0,-19.4,0.7947,0,1000.9,-16.7,16.093,2.1,NULL,NULL
Solar Array,2010,1,3,6,0,-18.9,0.7889,0,1000.2,-16.1,16.093,3.6,NULL,NULL
Solar Array,2010,1,3,7,0,-18.9,0.7567,0,999.9,-15.6,16.093,4.6,NULL,NULL
Solar Array,2010,1,3,8,0,-18.3,0.7965,0,1000.2,-15.6,16.093,3.1,NULL,NULL
Solar Array,2010,1,3,9,0,-18.9,0.8296,0,1000.5,-16.7,16.093,2.1,NULL,NULL
Solar Array,2010,1,3,10,0,-17.8,0.8312,0,1000.2,-15.6,16.093,3.1,NULL,NULL
Solar Array,2010,1,3,11,0,-16.1,0.7936,0,999.9,-13.3,16.093,5.7,NULL,NULL
Solar Array,2010,1,3,12,0,-15.6,0.6928,0,999.9,-11.1,16.093,6.2,NULL,NULL
Solar Array,2010,1,3,13,0,-14.4,0.6685,0,998.9,-9.4,16.093,7.2,NULL,NULL
Solar Array,2010,1,3,14,0,-13.9,0.6146,0,997.9,-7.8,16.093,8.8,NULL,NULL
Solar Array,2010,1,3,15,0,-12.8,0.6175,0,997.6,-6.7,16.093,7.2,NULL,NULL
Solar Array,2010,1,3,16,0,-12.2,0.6191,0,997.2,-6.1,16.093,7.7,NULL,NULL
Solar Array,2010,1,3,17,0.5,-11.7,0.6445,0,997.2,-6.1,16.093,7.7,NULL,NULL
Solar Array,2010,1,3,18,1,-11.7,0.6445,0,997.2,-6.1,16.093,7.7,NULL,NULL
Solar Array,2010,1,3,19,1,-11.1,0.7082,0,997.2,-6.7,16.093,6.7,NULL,NULL
Solar Array,2010,1,3,20,1,-11.1,0.7082,0,996.9,-6.7,16.093,9.3,NULL,NULL
Solar Array,2010,1,3,21,1,-10,0.7729,0,996.6,-6.7,12.875,8.8,NULL,NULL
Solar Array,2010,1,3,22,1,-10.6,0.737,0,996.6,-6.7,16.093,8.2,NULL,NULL
Solar Array,2010,1,3,23,1,-11.1,0.736,0,996.2,-7.2,16.093,8.2,NULL,NULL
Solar Array,2010,1,3,24,1,-10.6,0.737,0,996.2,-6.7,16.093,5.7,NULL,NULL
Solar Array,2010,1,4,1,1,-10.6,0.737,0,995.9,-6.7,16.093,5.7,-67.4034578998685,NULL
Solar Array,2010,1,4,2,1,-11.1,0.7082,0,995.2,-6.7,16.093,6.2,-68.7763376457095,NULL
Solar Array,2010,1,4,3,1,-11.1,0.7082,0,995.2,-6.7,16.093,5.7,-63.608613886286,NULL
Solar Array,2010,1,4,4,1,-11.1,0.7082,0,995.2,-6.7,16.093,7.2,-54.7378034347027,NULL
