Year,Month,Day,Hour,Electricity_KW_HR,Wind_Speed
2011,3,25,1,6476,4.1
2011,3,25,2,3512,3.5
2011,3,25,3,2376,3.9
2011,3,25,4,3056,3.4
2011,3,25,5,2084,3.3
2011,3,25,6,1648,2.8
2011,3,25,7,788,2.5
2011,3,25,8,532,2.9
2011,3,25,9,1084,2.5
2011,3,25,10,484,1.9
2011,3,25,11,68,1.4
2011,3,25,12,0,1.4
2011,3,25,13,64,2.4
2011,3,25,14,260,3.3
2011,3,25,15,1112,3.7
2011,3,25,16,1952,3.5
2011,3,25,17,1752,3.7
2011,3,25,18,1936,3.7
2011,3,25,19,2168,3.6
2011,3,25,20,2000,3.2
2011,3,25,21,1408,3.5
2011,3,25,22,2164,5
2011,3,25,23,6780,5.3
2011,3,25,24,7792,NULL
2011,3,26,1,4068,4.6
2011,3,26,2,4920,5.3
2011,3,26,3,7440,5.2
2011,3,26,4,7064,4.7
2011,3,26,5,5524,4.7
2011,3,26,6,5492,4.2
2011,3,26,7,3632,4.9
2011,3,26,8,5884,4.3
2011,3,26,9,3256,5
2011,3,26,10,5944,4.1
2011,3,26,11,3204,3.7
2011,3,26,12,1964,3.5
2011,3,26,13,1564,4.2
2011,3,26,14,2728,4.9
2011,3,26,15,5128,4.6
2011,3,26,16,3988,4.7
2011,3,26,17,4232,4.4
2011,3,26,18,3684,5.7
2011,3,26,19,8816,7.2
2011,3,26,20,18396,7.1
2011,3,26,21,17164,6.4
2011,3,26,22,13832,6.1
2011,3,26,23,11860,5.8
2011,3,26,24,9832,NULL
2011,3,27,1,7468,5.7
2011,3,27,2,9392,2.7
2011,3,27,3,1140,5.6
2011,3,27,4,7616,5.6
2011,3,27,5,10116,6.4
2011,3,27,6,13480,4.9
2011,3,27,7,5704,4.9
2011,3,27,8,6264,4.9
2011,3,27,9,6180,5.5
2011,3,27,10,6768,4.7
2011,3,27,11,4884,2.9
2011,3,27,12,1136,3.1
2011,3,27,13,1100,3.3
2011,3,27,14,1440,3.4
2011,3,27,15,1552,3.3
2011,3,27,16,1232,3.2
2011,3,27,17,1148,3.3
2011,3,27,18,1088,3.5
2011,3,27,19,1448,3.6
2011,3,27,20,1936,3.9
2011,3,27,21,2440,4.2
2011,3,27,22,3644,5.6
2011,3,27,23,7928,5.9
2011,3,27,24,9212,NULL
2011,3,28,1,14136,5.2
2011,3,28,2,7052,4.3
2011,3,28,3,4116,3.9
2011,3,28,4,2960,3.9
2011,3,28,5,2500,4.1
2011,3,28,6,2888,4.4
2011,3,28,7,3916,3.5
2011,3,28,8,2164,4.1
2011,3,28,9,3148,5.1
2011,3,28,10,6316,3.3
2011,3,28,11,1848,2.7
2011,3,28,12,736,2.6
2011,3,28,13,500,2.8
2011,3,28,14,444,2.7
2011,3,28,15,188,4
2011,3,28,16,2504,3.9
2011,3,28,17,2264,3.6
2011,3,28,18,1736,3.6
2011,3,28,19,1696,3.2
2011,3,28,20,1308,3.8
2011,3,28,21,2440,3
2011,3,28,22,1056,3.1
2011,3,28,23,1288,4.1
2011,3,28,24,3428,NULL
2011,3,29,1,5468,5.3
2011,3,29,2,7864,4.6
2011,3,29,3,5132,4.8
2011,3,29,4,5780,4.5
2011,3,29,5,4296,4.2
2011,3,29,6,3808,4
2011,3,29,7,3316,4.1
2011,3,29,8,3524,3.9
2011,3,29,9,2832,3.7
2011,3,29,10,1644,2.1
2011,3,29,11,312,1.9
2011,3,29,12,40,2
2011,3,29,13,108,2.6
2011,3,29,14,484,2.8
2011,3,29,15,760,3.1
2011,3,29,16,876,2.6
2011,3,29,17,408,2.1
2011,3,29,18,144,1.9
2011,3,29,19,132,2.2
2011,3,29,20,176,2.5
2011,3,29,21,476,3.4
2011,3,29,22,1664,3.6
2011,3,29,23,2232,4.7
2011,3,29,24,4736,NULL
2011,3,30,1,6408,5.5
2011,3,30,2,7276,3.7
2011,3,30,3,2640,2.7
2011,3,30,4,776,4.1
2011,3,30,5,3144,5.6
2011,3,30,6,9164,5.3
2011,3,30,7,7736,5.2
2011,3,30,8,7020,5.7
2011,3,30,9,9968,5.1
2011,3,30,10,5156,7.5
2011,3,30,11,0,7.5
2011,3,30,12,0,8.3
2011,3,30,13,0,7.9
2011,3,30,14,0,5.1
2011,3,30,15,0,4.4
2011,3,30,16,0,5.9
2011,3,30,17,7880,6.3
2011,3,30,18,11980,6.5
2011,3,30,19,13964,5.7
2011,3,30,20,9356,5.7
2011,3,30,21,8708,5.7
2011,3,30,22,9068,6.4
2011,3,30,23,13600,7.3
2011,3,30,24,17760,NULL
2011,3,31,1,21300,7.3
2011,3,31,2,17852,8
2011,3,31,3,21452,7.7
2011,3,31,4,20288,7.6
2011,3,31,5,19928,7.2
2011,3,31,6,18196,7.3
2011,3,31,7,18740,7.5
2011,3,31,8,19668,7.5
2011,3,31,9,19728,8.6
2011,3,31,10,3184,11.9
2011,3,31,11,0,11.1
2011,3,31,12,0,11.4
2011,3,31,13,0,11.8
2011,3,31,14,0,13
2011,3,31,15,0,12.3
2011,3,31,16,3896,9.3
2011,3,31,17,23292,9.6
2011,3,31,18,23852,9.9
2011,3,31,19,28912,9.4
2011,3,31,20,35920,8.9
2011,3,31,21,31080,8.6
2011,3,31,22,30572,8.4
2011,3,31,23,27768,8
