Year,Month,Day,Day_of_week,Weekdays,HolidayName,School_Day
Scenario,1,1,3,Tue,New Year's Day,0
Scenario,1,2,4,Wed,,0
Scenario,1,3,5,Thu,,0
Scenario,1,4,6,Fri,,0
Scenario,1,5,7,Sat,,0
Scenario,1,6,1,Sun,,0
Scenario,1,7,2,Mon,,1
Scenario,1,8,3,Tue,,1
Scenario,1,9,4,Wed,,1
Scenario,1,10,5,Thu,,1
Scenario,1,11,6,Fri,,1
Scenario,1,12,7,Sat,,0
Scenario,1,13,1,Sun,,0
Scenario,1,14,2,Mon,,1
Scenario,1,15,3,Tue,,1
Scenario,1,16,4,Wed,,1
Scenario,1,17,5,Thu,,1
Scenario,1,18,6,Fri,,1
Scenario,1,19,7,Sat,,0
Scenario,1,20,1,Sun,,0
Scenario,1,21,2,Mon,Martin Luther King Day,0
Scenario,1,22,3,Tue,,1
Scenario,1,23,4,Wed,,1
Scenario,1,24,5,Thu,,1
Scenario,1,25,6,Fri,,1
Scenario,1,26,7,Sat,,0
Scenario,1,27,1,Sun,,0
Scenario,1,28,2,Mon,,1
Scenario,1,29,3,Tue,,1
Scenario,1,30,4,Wed,,1
Scenario,1,31,5,Thu,,1
Scenario,2,1,6,Fri,,1
Scenario,2,2,7,Sat,,0
Scenario,2,3,1,Sun,,0
Scenario,2,4,2,Mon,,1
Scenario,2,5,3,Tue,,1
Scenario,2,6,4,Wed,,1
Scenario,2,7,5,Thu,,1
Scenario,2,8,6,Fri,,1
Scenario,2,9,7,Sat,,0
Scenario,2,10,1,Sun,,0
Scenario,2,11,2,Mon,,1
Scenario,2,12,3,Tue,,1
Scenario,2,13,4,Wed,,1
Scenario,2,14,5,Thu,,1
Scenario,2,15,6,Fri,,1
Scenario,2,16,7,Sat,,0
Scenario,2,17,1,Sun,,0
Scenario,2,18,2,Mon,Presidents' Day,0
Scenario,2,19,3,Tue,,1
Scenario,2,20,4,Wed,,1
Scenario,2,21,5,Thu,,1
Scenario,2,22,6,Fri,,1
Scenario,2,23,7,Sat,,0
Scenario,2,24,1,Sun,,0
Scenario,2,25,2,Mon,,1
Scenario,2,26,3,Tue,,1
Scenario,2,27,4,Wed,,1
Scenario,2,28,5,Thu,,1
Scenario,2,29,6,Fri,,1
Scenario,3,1,7,Sat,,0
Scenario,3,2,1,Sun,,0
Scenario,3,3,2,Mon,,1
Scenario,3,4,3,Tue,,1
Scenario,3,5,4,Wed,,1
Scenario,3,6,5,Thu,,1
Scenario,3,7,6,Fri,,1
Scenario,3,8,7,Sat,,0
Scenario,3,9,1,Sun,,0
Scenario,3,10,2,Mon,,1
Scenario,3,11,3,Tue,,1
Scenario,3,12,4,Wed,,1
Scenario,3,13,5,Thu,,1
Scenario,3,14,6,Fri,,1
Scenario,3,15,7,Sat,,0
Scenario,3,16,1,Sun,,0
Scenario,3,17,2,Mon,,1
Scenario,3,18,3,Tue,,1
Scenario,3,19,4,Wed,,1
Scenario,3,20,5,Thu,,1
Scenario,3,21,6,Fri,,0
Scenario,3,22,7,Sat,,0
