"","Location","Year","Month","Day","Hour","Cloud_Cover_Fraction","Dew_Point","Humidity_Fraction","Precipitation","Pressure","Temperature","Visibility","Wind_Speed","Solar_Elevation","Electricity_KW_HR"
"1","Solar Array",2010,1,1,1,1,-8.9,0.805,0,991.2,-6.1,9.656,6.7,-67.7843904481682,0
"2","Solar Array",2010,1,1,2,1,-8.3,0.8437,0,990.9,-6.1,6.437,5.1,-69.0031087771211,0
"3","Solar Array",2010,1,1,3,1,-7.8,0.8443,0,990.9,-5.6,9.656,5.1,-63.6650058458779,0
"4","Solar Array",2010,1,1,4,1,-7.8,0.8066,0,991.6,-5,16.093,5.1,-54.7018425651834,0
"5","Solar Array",2010,1,1,5,1,-7.8,0.8066,0,991.9,-5,16.093,4.1,-44.3363455171852,0
"6","Solar Array",2010,1,1,6,1,-7.8,0.8066,0,991.9,-5,16.093,4.1,-33.5275561203211,0
"7","Solar Array",2010,1,1,7,1,-8.3,0.7759,0,992.6,-5,16.093,5.7,-22.739264689634,0
"8","Solar Array",2010,1,1,8,1,-8.9,0.7403,0,993.2,-5,16.093,5.7,-12.2840282075204,0
"9","Solar Array",2010,1,1,9,0.25,-10.6,0.7038,0,993.6,-6.1,16.093,7.7,-2.45472370794981,0
"10","Solar Array",2010,1,1,10,0.9,-11.7,0.6445,0,993.9,-6.1,16.093,8.2,6.41191165133795,10445.96
"11","Solar Array",2010,1,1,11,1,-10.6,0.7038,0,994.9,-6.1,16.093,7.2,13.900554463193,17159.975
"12","Solar Array",2010,1,1,12,1,-11.7,0.6445,0,995.2,-6.1,16.093,6.7,19.517898082316,43028.735
"13","Solar Array",2010,1,1,13,0.5,-13.3,0.5929,0,995.2,-6.7,16.093,8.2,22.7602113757351,60521.825
"14","Solar Array",2010,1,1,14,0.25,-13.3,0.5662,0,994.9,-6.1,16.093,6.7,23.2638373865407,43391.08
"15","Solar Array",2010,1,1,15,0,-16.7,0.4273,0,994.9,-6.1,16.093,6.7,20.9664907886914,46395.495
"16","Solar Array",2010,1,1,16,0,-15.6,0.4685,0,995.2,-6.1,16.093,6.7,16.1393082066947,22812.35
"17","Solar Array",2010,1,1,17,0,-15,0.5156,0,995.9,-6.7,16.093,7.2,9.2568071519342,15220.51
"18","Solar Array",2010,1,1,18,0.9,-15.6,0.5099,0,996.6,-7.2,16.093,7.2,0.82835403048777,0
"19","Solar Array",2010,1,1,19,1,-15.6,0.5341,0,997.2,-7.8,16.093,7.2,-8.70010963315736,0
"20","Solar Array",2010,1,1,20,0.9,-15,0.5837,0,997.2,-8.3,16.093,4.6,-18.9662506231027,0
"21","Solar Array",2010,1,1,21,1,-15,0.5837,0,997.6,-8.3,16.093,5.1,-29.6666338455347,0
"22","Solar Array",2010,1,1,22,0.9,-15,0.6117,0,997.6,-8.9,16.093,4.6,-40.5047062103015,0
"23","Solar Array",2010,1,1,23,0,-15,0.6671,0,997.6,-10,16.093,5.1,-51.0919193458573,0
"24","Solar Array",2010,1,1,24,0,-15.6,0.6347,0,997.6,-10,16.093,5.1,-60.7058641027161,0
"25","Solar Array",2010,1,2,1,0,-15.6,0.6928,0,997.9,-11.1,16.093,3.1,-67.6684433986546,0
"26","Solar Array",2010,1,2,2,0,-15,0.7281,0,997.6,-11.1,16.093,3.6,-68.9379367979854,0
"27","Solar Array",2010,1,2,3,0.25,-14.4,0.7651,0,997.6,-11.1,16.093,4.6,-63.6539052347162,0
"28","Solar Array",2010,1,2,4,0,-15,0.6997,0,997.9,-10.6,16.093,5.7,-54.7194223487716,0
"29","Solar Array",2010,1,2,5,0.25,-15.6,0.6657,0,997.9,-10.6,16.093,5.7,-44.3654444425579,0
"30","Solar Array",2010,1,2,6,0.25,-16.1,0.6972,0,997.9,-11.7,16.093,5.1,-33.5590934533686,0
"31","Solar Array",2010,1,2,7,0,-17.2,0.6618,0,998.9,-12.2,16.093,5.1,-22.7676749984331,0
"32","Solar Array",2010,1,2,8,0,-18.9,0.6576,0,999.6,-13.9,16.093,6.2,-12.3050532282763,0
"33","Solar Array",2010,1,2,9,0,-19.4,0.6563,0,1000.2,-14.4,16.093,5.7,-2.46442414271719,0
"34","Solar Array",2010,1,2,10,0,-19.4,0.6897,0,1000.9,-15,16.093,5.7,6.41756927994145,5845.5694558
"35","Solar Array",2010,1,2,11,0,-20,0.6232,0,1001.5,-14.4,16.093,7.2,13.9256502136477,15946.855
"36","Solar Array",2010,1,2,12,0,-21.1,0.5435,0,1001.9,-13.9,16.093,8.8,19.5659102739131,34658.275
"37","Solar Array",2010,1,2,13,0,-21.1,0.5435,0,1001.2,-13.9,16.093,8.8,22.8327389431783,39746.085
"38","Solar Array",2010,1,2,14,0,-21.1,0.5175,0,1000.5,-13.3,16.093,6.7,23.3593717220551,33409.855
"39","Solar Array",2010,1,2,15,0,-21.1,0.4733,0,999.9,-12.2,16.093,7.2,21.0805286488829,25806.105
"40","Solar Array",2010,1,2,16,0,-20,0.5003,0,999.6,-11.7,16.093,7.2,16.2660681019908,18565.105
"41","Solar Array",2010,1,2,17,0,-20.6,0.4944,0,999.9,-12.2,16.093,6.7,9.39111742585556,8166.625
"42","Solar Array",2010,1,2,18,0,-20,0.5209,0,1000.2,-12.2,16.093,5.7,0.966522195495337,0
"43","Solar Array",2010,1,2,19,0,-20,0.5695,0,1000.9,-13.3,16.093,5.7,-8.56032615890233,0
"44","Solar Array",2010,1,2,20,0,-20.6,0.5677,0,1001.2,-13.9,16.093,5.1,-18.8259957719805,0
"45","Solar Array",2010,1,2,21,0,-20.6,0.5915,0,1001.5,-14.4,16.093,5.7,-29.5262922652548,0
"46","Solar Array",2010,1,2,22,0,-20.6,0.6216,0,1001.5,-15,16.093,3.1,-40.3641926330458,0
"47","Solar Array",2010,1,2,23,0,-20.6,0.6811,0,1001.5,-16.1,16.093,2.1,-50.951209990747,0
"48","Solar Array",2010,1,2,24,0,-20.6,0.7163,0,1001.5,-16.7,16.093,1.5,-60.5672133619867,0
"49","Solar Array",2010,1,3,1,0,-20,0.7546,0,1001.2,-16.7,16.093,1.5,-67.5455769262746,0
"50","Solar Array",2010,1,3,2,0,-20,0.7546,0,1000.9,-16.7,16.093,1.5,-68.8644910780084,0
"51","Solar Array",2010,1,3,3,0,-20,0.7871,0,1000.9,-17.2,16.093,1.5,-63.6352192395451,0
"52","Solar Array",2010,1,3,4,0,-19.4,0.8721,0,1000.9,-17.8,16.093,1.5,-54.7304424738284,0
"53","Solar Array",2010,1,3,5,0,-19.4,0.7947,0,1000.9,-16.7,16.093,2.1,-44.3885569571934,0
"54","Solar Array",2010,1,3,6,0,-18.9,0.7889,0,1000.2,-16.1,16.093,3.6,-33.5848507576279,0
"55","Solar Array",2010,1,3,7,0,-18.9,0.7567,0,999.9,-15.6,16.093,4.6,-22.7902725550254,0
"56","Solar Array",2010,1,3,8,0,-18.3,0.7965,0,1000.2,-15.6,16.093,3.1,-12.3200716166004,0
"57","Solar Array",2010,1,3,9,0,-18.9,0.8296,0,1000.5,-16.7,16.093,2.1,-2.46781231591605,0
"58","Solar Array",2010,1,3,10,0,-17.8,0.8312,0,1000.2,-15.6,16.093,3.1,6.42991284048997,15698.9866666667
"59","Solar Array",2010,1,3,11,0,-16.1,0.7936,0,999.9,-13.3,16.093,5.7,13.9578159872527,43620.28
"60","Solar Array",2010,1,3,12,0,-15.6,0.6928,0,999.9,-11.1,16.093,6.2,19.6213004009194,74062.825
"61","Solar Array",2010,1,3,13,0,-14.4,0.6685,0,998.9,-9.4,16.093,7.2,22.9127644092682,91051.61
"62","Solar Array",2010,1,3,14,0,-13.9,0.6146,0,997.9,-7.8,16.093,8.8,23.4622427800604,104783.78
"63","Solar Array",2010,1,3,15,0,-12.8,0.6175,0,997.6,-6.7,16.093,7.2,21.2014532175243,86890.655
"64","Solar Array",2010,1,3,16,0,-12.2,0.6191,0,997.2,-6.1,16.093,7.7,16.3990695719878,47377.025
"65","Solar Array",2010,1,3,17,0.5,-11.7,0.6445,0,997.2,-6.1,16.093,7.7,9.53096253099996,13869.465
"66","Solar Array",2010,1,3,18,1,-11.7,0.6445,0,997.2,-6.1,16.093,7.7,1.10956424485014,0
"67","Solar Array",2010,1,3,19,1,-11.1,0.7082,0,997.2,-6.7,16.093,6.7,-8.41621973287825,0
"68","Solar Array",2010,1,3,20,1,-11.1,0.7082,0,996.9,-6.7,16.093,9.3,-18.6818215138688,0
"69","Solar Array",2010,1,3,21,1,-10,0.7729,0,996.6,-6.7,12.875,8.8,-29.3822527947296,0
"70","Solar Array",2010,1,3,22,1,-10.6,0.737,0,996.6,-6.7,16.093,8.2,-40.2199629123661,0
"71","Solar Array",2010,1,3,23,1,-11.1,0.736,0,996.2,-7.2,16.093,8.2,-50.8064094623699,0
"72","Solar Array",2010,1,3,24,1,-10.6,0.737,0,996.2,-6.7,16.093,5.7,-60.423512293523,0
"73","Solar Array",2010,1,4,1,1,-10.6,0.737,0,995.9,-6.7,16.093,5.7,-67.4034578998685,0
"74","Solar Array",2010,1,4,2,1,-11.1,0.7082,0,995.2,-6.7,16.093,6.2,-68.7763376457095,0
"75","Solar Array",2010,1,4,3,1,-11.1,0.7082,0,995.2,-6.7,16.093,5.7,-63.608613886286,0
"76","Solar Array",2010,1,4,4,1,-11.1,0.7082,0,995.2,-6.7,16.093,7.2,-54.7378034347027,0
"77","Solar Array",2010,1,4,5,1,-11.7,0.7014,0,994.9,-7.2,16.093,6.7,-44.4098974189501,0
"78","Solar Array",2010,1,4,6,1,-11.1,0.736,0,994.6,-7.2,16.093,7.2,-33.6093454464391,0
"79","Solar Array",2010,1,4,7,1,-11.7,0.7014,0,994.6,-7.2,16.093,5.7,-22.8112610694772,0
"80","Solar Array",2010,1,4,8,0.9,-11.1,0.736,0,994.2,-7.2,16.093,4.6,-12.3325009182484,0
"81","Solar Array",2010,1,4,9,1,-10.6,0.737,0,994.2,-6.7,16.093,4.6,-2.46707866697467,0
"82","Solar Array",2010,1,4,10,1,-10.6,0.737,0,993.9,-6.7,16.093,3.6,6.44843794724521,24235.8679889
"83","Solar Array",2010,1,4,11,0.9,-10,0.7382,0,993.9,-6.1,16.093,4.6,13.9987098928472,59596.67
"84","Solar Array",2010,1,4,12,1,-9.4,0.7118,0,993.9,-5,16.093,4.6,19.6883149029747,87254.225
"85","Solar Array",2010,1,4,13,1,-8.9,0.7403,0,993.2,-5,16.093,5.1,23.0073530080954,95561.865
"86","Solar Array",2010,1,4,14,1,-8.3,0.7414,0,992.6,-4.4,16.093,4.6,23.5822182371086,87977.79
"87","Solar Array",2010,1,4,15,1,-8.3,0.7141,0,991.9,-3.9,16.093,5.1,21.3412641317167,68938.035
"88","Solar Array",2010,1,4,16,1,-8.3,0.7141,0,991.9,-3.9,16.093,5.7,16.5519029029329,14186.16
"89","Solar Array",2010,1,4,17,1,-8.3,0.6827,0,992.2,-3.3,16.093,3.6,9.69092940091031,5898
"90","Solar Array",2010,1,4,18,1,-8.3,0.7141,0,992.6,-3.9,16.093,3.1,1.27262554760092,0
"91","Solar Array",2010,1,4,19,1,-8.3,0.7414,0,992.6,-4.4,16.093,3.1,-8.2523653024061,0
"92","Solar Array",2010,1,4,20,1,-8.3,0.7414,0,992.9,-4.4,16.093,2.6,-18.5181799653446,0
"93","Solar Array",2010,1,4,21,1,-8.9,0.7403,0,993.2,-5,16.093,2.6,-29.2189198795241,0
"94","Solar Array",2010,1,4,22,1,-8.9,0.7403,0,992.9,-5,16.093,3.1,-40.0564061153089,0
"95","Solar Array",2010,1,4,23,1,-8.9,0.7403,0,992.9,-5,16.093,3.6,-50.6419540338648,0
"96","Solar Array",2010,1,4,24,1,-8.9,0.7748,0,992.9,-5.6,16.093,4.1,-60.2596084124909,0
"97","Solar Array",2010,1,5,1,1,-8.9,0.805,0,992.9,-6.1,16.093,3.1,-67.2663396437879,0
"98","Solar Array",2010,1,5,2,1,-8.9,0.805,0,992.2,-6.1,16.093,5.1,-68.6855483829115,0
"99","Solar Array",2010,1,5,3,1,-8.3,0.8437,0,992.2,-6.1,16.093,4.1,-63.5737408739247,0
"100","Solar Array",2010,1,5,4,1,-7.8,0.8443,0,992.6,-5.6,16.093,3.1,-54.7347230736789,0
"101","Solar Array",2010,1,5,5,1,-7.8,0.8443,0,992.6,-5.6,16.093,4.6,-44.4201269868008,0
"102","Solar Array",2010,1,5,6,1,-7.2,0.9189,0,992.2,-6.1,16.093,2.6,-33.6226850501813,0
"103","Solar Array",2010,1,5,7,1,-7.2,0.8845,0,992.2,-5.6,11.265,3.1,-22.8214089958982,0
"104","Solar Array",2010,1,5,8,1,-7.8,0.8443,0,992.6,-5.6,16.093,4.1,-12.3347022645601,0
"105","Solar Array",2010,1,5,9,1,-7.8,0.8443,0,992.9,-5.6,8.047,3.6,-2.45705075920799,0
"106","Solar Array",2010,1,5,10,1,-8.3,0.8437,0,992.9,-6.1,8.047,3.1,6.4749364246471,12421.86
"107","Solar Array",2010,1,5,11,1,-8.3,0.7759,0,992.9,-5,16.093,4.1,14.0457888445358,14210.46
"108","Solar Array",2010,1,5,12,1,-7.8,0.7709,0,993.2,-4.4,16.093,3.6,19.759215067617,14723.64
