Year,Month,Day,Hour,Calc_Sector_KW,Cloud_Cover_Fraction,Dew_Point,Humidity_Fraction,Precipitable_Water,Temperature,Visibility,Day_of_week,Weekdays,HolidayName,School_Day,Solar_Elevation
Consumption,1,1,1,77215.41554,1,-8.9,0.81,6,-6.1,4,1,Sun,New Year's Day,0,-68.5327687
Consumption,1,1,2,71706.59089,1,-9.4,0.84,6,-7.2,4,1,Sun,New Year's Day,0,-69.94281936
Consumption,1,1,3,74560.97122,1,-10.6,0.81,6,-7.8,4,1,Sun,New Year's Day,0,-64.44836741
Consumption,1,1,4,71236.65933,1,-10.6,0.81,6,-7.8,4,1,Sun,New Year's Day,0,-55.25444713
Consumption,1,1,5,79845.42603,1,-11.7,0.77,6,-8.3,4,1,Sun,New Year's Day,0,-44.69331792
Consumption,1,1,6,89642.37357,1,-12.2,0.74,5,-8.3,4,1,Sun,New Year's Day,0,-33.71876006
Consumption,1,1,7,112646.1655,1,-12.2,0.81,5,-9.4,4,1,Sun,New Year's Day,0,-22.7800838
Consumption,1,1,8,116870.7796,1,-13.9,0.74,5,-10,4.8,1,Sun,New Year's Day,0,-12.17977053
Consumption,1,1,9,99892.83697,1,-14.4,0.73,5,-10.6,4.8,1,Sun,New Year's Day,0,-2.204645358
Consumption,1,1,10,85579.35522,0.8,-14.4,0.73,5,-10.6,8,1,Sun,New Year's Day,0,6.810783112
Consumption,1,1,11,83191.85747,1,-13.9,0.77,5,-10.6,9.7,1,Sun,New Year's Day,0,14.44818887
Consumption,1,1,12,81303.08187,1,-13.3,0.74,5,-9.4,3.2,1,Sun,New Year's Day,0,20.20360203
Consumption,1,1,13,83387.77407,1,-13.3,0.74,5,-9.4,4.8,1,Sun,New Year's Day,0,23.55453719
Consumption,1,1,14,78872.99023,1,-12.8,0.77,5,-9.4,8,1,Sun,New Year's Day,0,24.11710219
Consumption,1,1,15,78827.75257,0.8,-13.9,0.74,5,-10,8,1,Sun,New Year's Day,0,21.81982701
Consumption,1,1,16,79354.20583,0.8,-13.3,0.74,5,-9.4,9.7,1,Sun,New Year's Day,0,16.94146792
Consumption,1,1,17,101104.7841,0.9,-13.3,0.77,5,-10,9.7,1,Sun,New Year's Day,0,9.973241384
Consumption,1,1,18,136311.7179,0.8,-13.3,0.8,5,-10.6,16.1,1,Sun,New Year's Day,0,1.439482308
Consumption,1,1,19,145293.088,0.7,-15,0.73,5,-11.1,16.1,1,Sun,New Year's Day,0,-8.205368552
Consumption,1,1,20,138651.6093,1,-14.4,0.73,5,-10.6,16.1,1,Sun,New Year's Day,0,-18.59686311
Consumption,1,1,21,138802.9391,1,-13.9,0.74,5,-10,16.1,1,Sun,New Year's Day,0,-29.43493063
Consumption,1,1,22,121518.7116,1,-14.4,0.7,5,-10,16.1,1,Sun,New Year's Day,0,-40.43243989
Consumption,1,1,23,106620.7945,1,-13.3,0.77,5,-10,16.1,1,Sun,New Year's Day,0,-51.21957736
Consumption,1,1,24,89505.69999,1,-12.8,0.8,5,-10,8,1,Sun,New Year's Day,0,-61.10563897
Consumption,1,2,1,80352.61305,1,-13.9,0.8,5,-11.1,16.1,2,Mon,NULL,0,-68.41787332
Consumption,1,2,2,74184.60649,1,-14.4,0.77,5,-11.1,16.1,2,Mon,NULL,0,-69.8811671
Consumption,1,2,3,77064.79162,1,-15,0.77,5,-11.7,16.1,2,Mon,NULL,0,-64.44317567
Consumption,1,2,4,73723.35254,1,-15,0.8,5,-12.2,16.1,2,Mon,NULL,0,-55.27785651
Consumption,1,2,5,83978.18215,0.8,-17.2,0.83,4,-15,16.1,2,Mon,NULL,0,-44.7277555
Consumption,1,2,6,94339.81313,0.7,-17.2,0.83,4,-15,16.1,2,Mon,NULL,0,-33.75530473
Consumption,1,2,7,156178.2212,0.7,-17.2,0.8,4,-14.4,16.1,2,Mon,NULL,0,-22.81335099
Consumption,1,2,8,162584.7051,0.7,-17.2,0.83,4,-15,16.1,2,Mon,NULL,0,-12.20563029
Consumption,1,2,9,146571.4181,0.4,-16.7,0.83,4,-14.4,16.1,2,Mon,NULL,0,-2.219228015
Consumption,1,2,10,128699.0893,0.4,-15.6,0.8,5,-12.8,16.1,2,Mon,NULL,0,6.811511096
Consumption,1,2,11,117195.3578,0,-14.4,0.73,5,-10.6,16.1,2,Mon,NULL,0,14.4683987
Consumption,1,2,12,115631.7054,0,-13.9,0.68,5,-8.9,16.1,2,Mon,NULL,0,20.24696318
Consumption,1,2,13,112904.5328,0,-15.6,0.52,5,-7.2,16.1,2,Mon,NULL,0,23.62288724
Consumption,1,2,14,109358.218,0,-15,0.52,5,-6.7,16.1,2,Mon,NULL,0,24.20909143
Consumption,1,2,15,104392.6538,0,-14.4,0.52,5,-6.1,16.1,2,Mon,NULL,0,21.93093844
Consumption,1,2,16,105593.7824,0,-13.9,0.52,5,-5.6,16.1,2,Mon,NULL,0,17.06578215
Consumption,1,2,17,124566.8742,0,-13.9,0.52,5,-5.6,16.1,2,Mon,NULL,0,10.10543319
Consumption,1,2,18,159272.5304,0,-13.9,0.57,5,-6.7,16.1,2,Mon,NULL,0,1.575743011
Consumption,1,2,19,158777.6196,0,-13.3,0.6,5,-6.7,16.1,2,Mon,NULL,0,-8.06736243
Consumption,1,2,20,156773.4705,0,-13.3,0.6,5,-6.7,16.1,2,Mon,NULL,0,-18.45831721
