Location,Day,Month,Year,Hour,Wind_Speed,Electricity_KW_HR
Wind Farm,24,3,2011,20,4.7,
Wind Farm,24,3,2011,21,5.3,
Wind Farm,24,3,2011,22,6.4,
Wind Farm,24,3,2011,23,6.1,
Wind Farm,24,3,2011,24,5.5,
Wind Farm,25,3,2011,1,4.9,6476
Wind Farm,25,3,2011,2,4.1,3512
Wind Farm,25,3,2011,3,3.5,2376
Wind Farm,25,3,2011,4,3.9,3056
Wind Farm,25,3,2011,5,3.4,2084
Wind Farm,25,3,2011,6,3.3,1648
Wind Farm,25,3,2011,7,2.8,788
Wind Farm,25,3,2011,8,2.5,532
Wind Farm,25,3,2011,9,2.9,1084
Wind Farm,25,3,2011,10,2.5,484
Wind Farm,25,3,2011,11,1.9,68
Wind Farm,25,3,2011,12,1.4,0
Wind Farm,25,3,2011,13,1.4,64
Wind Farm,25,3,2011,14,2.4,260
Wind Farm,25,3,2011,15,3.3,1112
Wind Farm,25,3,2011,16,3.7,1952
Wind Farm,25,3,2011,17,3.5,1752
Wind Farm,25,3,2011,18,3.7,1936
Wind Farm,25,3,2011,19,3.7,2168
Wind Farm,25,3,2011,20,3.6,2000
Wind Farm,25,3,2011,21,3.2,1408
Wind Farm,25,3,2011,22,3.5,2164
Wind Farm,25,3,2011,23,5.0,6780
Wind Farm,25,3,2011,24,5.3,7792
Wind Farm,26,3,2011,1,4.4,4068
Wind Farm,26,3,2011,2,4.6,4920
Wind Farm,26,3,2011,3,5.3,7440
Wind Farm,26,3,2011,4,5.2,7064
Wind Farm,26,3,2011,5,4.7,5524
Wind Farm,26,3,2011,6,4.7,5492
Wind Farm,26,3,2011,7,4.2,3632
Wind Farm,26,3,2011,8,4.9,5884
Wind Farm,26,3,2011,9,4.3,3256
Wind Farm,26,3,2011,10,5.0,5944
Wind Farm,26,3,2011,11,4.1,3204
Wind Farm,26,3,2011,12,3.7,1964
Wind Farm,26,3,2011,13,3.5,1564
Wind Farm,26,3,2011,14,4.2,2728
Wind Farm,26,3,2011,15,4.9,5128
Wind Farm,26,3,2011,16,4.6,3988
Wind Farm,26,3,2011,17,4.7,4232
Wind Farm,26,3,2011,18,4.4,3684
Wind Farm,26,3,2011,19,5.7,8816
Wind Farm,26,3,2011,20,7.2,18396
Wind Farm,26,3,2011,21,7.1,17164
Wind Farm,26,3,2011,22,6.4,13832
Wind Farm,26,3,2011,23,6.1,11860
Wind Farm,26,3,2011,24,5.8,9832
Wind Farm,27,3,2011,1,5.3,7468
Wind Farm,27,3,2011,2,5.7,9392
Wind Farm,27,3,2011,3,2.7,1140
Wind Farm,27,3,2011,4,5.6,7616
Wind Farm,27,3,2011,5,5.6,10116
Wind Farm,27,3,2011,6,6.4,13480
Wind Farm,27,3,2011,7,4.9,5704
Wind Farm,27,3,2011,8,4.9,6264
Wind Farm,27,3,2011,9,4.9,6180
Wind Farm,27,3,2011,10,5.5,6768
Wind Farm,27,3,2011,11,4.7,4884
Wind Farm,27,3,2011,12,2.9,1136
Wind Farm,27,3,2011,13,3.1,1100
Wind Farm,27,3,2011,14,3.3,1440
Wind Farm,27,3,2011,15,3.4,1552
Wind Farm,27,3,2011,16,3.3,1232
Wind Farm,27,3,2011,17,3.2,1148
Wind Farm,27,3,2011,18,3.3,1088
Wind Farm,27,3,2011,19,3.5,1448
Wind Farm,27,3,2011,20,3.6,1936
Wind Farm,27,3,2011,21,3.9,2440
Wind Farm,27,3,2011,22,4.2,3644
Wind Farm,27,3,2011,23,5.6,7928
Wind Farm,27,3,2011,24,5.9,9212
Wind Farm,28,3,2011,1,6.5,14136
Wind Farm,28,3,2011,2,5.2,7052
Wind Farm,28,3,2011,3,4.3,4116
Wind Farm,28,3,2011,4,3.9,2960
Wind Farm,28,3,2011,5,3.9,2500
Wind Farm,28,3,2011,6,4.1,2888
Wind Farm,28,3,2011,7,4.4,3916
Wind Farm,28,3,2011,8,3.5,2164
Wind Farm,28,3,2011,9,4.1,3148
Wind Farm,28,3,2011,10,5.1,6316
Wind Farm,28,3,2011,11,3.3,1848
Wind Farm,28,3,2011,12,2.7,736
Wind Farm,28,3,2011,13,2.6,500
Wind Farm,28,3,2011,14,2.8,444
Wind Farm,28,3,2011,15,2.7,188
Wind Farm,28,3,2011,16,4.0,2504
Wind Farm,28,3,2011,17,3.9,2264
Wind Farm,28,3,2011,18,3.6,1736
Wind Farm,28,3,2011,19,3.6,1696
Wind Farm,28,3,2011,20,3.2,1308
Wind Farm,28,3,2011,21,3.8,2440
Wind Farm,28,3,2011,22,3.0,1056
Wind Farm,28,3,2011,23,3.1,1288
Wind Farm,28,3,2011,24,4.1,3428
Wind Farm,29,3,2011,1,4.6,5468
Wind Farm,29,3,2011,2,5.3,7864
Wind Farm,29,3,2011,3,4.6,5132
Wind Farm,29,3,2011,4,4.8,5780
Wind Farm,29,3,2011,5,4.5,4296
Wind Farm,29,3,2011,6,4.2,3808
Wind Farm,29,3,2011,7,4.0,3316
Wind Farm,29,3,2011,8,4.1,3524
Wind Farm,29,3,2011,9,3.9,2832
Wind Farm,29,3,2011,10,3.7,1644
Wind Farm,29,3,2011,11,2.1,312
Wind Farm,29,3,2011,12,1.9,40
Wind Farm,29,3,2011,13,2.0,108
Wind Farm,29,3,2011,14,2.6,484
Wind Farm,29,3,2011,15,2.8,760
Wind Farm,29,3,2011,16,3.1,876
Wind Farm,29,3,2011,17,2.6,408
Wind Farm,29,3,2011,18,2.1,144
Wind Farm,29,3,2011,19,1.9,132
Wind Farm,29,3,2011,20,2.2,176
Wind Farm,29,3,2011,21,2.5,476
Wind Farm,29,3,2011,22,3.4,1664
Wind Farm,29,3,2011,23,3.6,2232
Wind Farm,29,3,2011,24,4.7,4736
Wind Farm,30,3,2011,1,5.1,6408
Wind Farm,30,3,2011,2,5.5,7276
Wind Farm,30,3,2011,3,3.7,2640
Wind Farm,30,3,2011,4,2.7,776
Wind Farm,30,3,2011,5,4.1,3144
Wind Farm,30,3,2011,6,5.6,9164
Wind Farm,30,3,2011,7,5.3,7736
Wind Farm,30,3,2011,8,5.2,7020
Wind Farm,30,3,2011,9,5.7,9968
Wind Farm,30,3,2011,10,5.1,5156
Wind Farm,30,3,2011,11,7.5,0
Wind Farm,30,3,2011,12,7.5,0
Wind Farm,30,3,2011,13,8.3,0
Wind Farm,30,3,2011,14,7.9,0
Wind Farm,30,3,2011,15,5.1,0
Wind Farm,30,3,2011,16,4.4,0
Wind Farm,30,3,2011,17,5.9,7880
Wind Farm,30,3,2011,18,6.3,11980
Wind Farm,30,3,2011,19,6.5,13964
Wind Farm,30,3,2011,20,5.7,9356
Wind Farm,30,3,2011,21,5.7,8708
Wind Farm,30,3,2011,22,5.7,9068
Wind Farm,30,3,2011,23,6.4,13600
Wind Farm,30,3,2011,24,7.3,17760
Wind Farm,31,3,2011,1,7.9,21300
Wind Farm,31,3,2011,2,7.3,17852
Wind Farm,31,3,2011,3,8.0,21452
Wind Farm,31,3,2011,4,7.7,20288
Wind Farm,31,3,2011,5,7.6,19928
Wind Farm,31,3,2011,6,7.2,18196
Wind Farm,31,3,2011,7,7.3,18740
Wind Farm,31,3,2011,8,7.5,19668
Wind Farm,31,3,2011,9,7.5,19728
Wind Farm,31,3,2011,10,8.6,3184
Wind Farm,31,3,2011,11,11.9,0
Wind Farm,31,3,2011,12,11.1,0
Wind Farm,31,3,2011,13,11.4,0
Wind Farm,31,3,2011,14,11.8,0
Wind Farm,31,3,2011,15,13.0,0
Wind Farm,31,3,2011,16,12.3,3896
Wind Farm,31,3,2011,17,9.3,23292
Wind Farm,31,3,2011,18,9.6,23852
Wind Farm,31,3,2011,19,9.9,28912
Wind Farm,31,3,2011,20,9.4,35920
Wind Farm,31,3,2011,21,8.9,31080
Wind Farm,31,3,2011,22,8.6,30572
Wind Farm,31,3,2011,23,8.4,27768
Wind Farm,31,3,2011,24,8.0,24460
Wind Farm,01,4,2011,1,8.5,29264
Wind Farm,01,4,2011,2,8.9,32296
Wind Farm,01,4,2011,3,9.1,34740
Wind Farm,01,4,2011,4,7.6,21688
Wind Farm,01,4,2011,5,6.4,12688
Wind Farm,01,4,2011,6,6.1,11292
Wind Farm,01,4,2011,7,6.8,15020
Wind Farm,01,4,2011,8,6.2,11324
Wind Farm,01,4,2011,9,5.8,9428
Wind Farm,01,4,2011,10,6.0,9000
Wind Farm,01,4,2011,11,6.0,8740
Wind Farm,01,4,2011,12,6.7,11396
Wind Farm,01,4,2011,13,6.7,0
Wind Farm,01,4,2011,14,7.9,0
Wind Farm,01,4,2011,15,7.1,16864
Wind Farm,01,4,2011,16,6.8,14752
Wind Farm,01,4,2011,17,5.3,7008
Wind Farm,01,4,2011,18,6.6,14212
Wind Farm,01,4,2011,19,6.0,9004
Wind Farm,01,4,2011,20,5.1,5764
Wind Farm,01,4,2011,21,5.5,7708
Wind Farm,01,4,2011,22,5.8,8972
Wind Farm,01,4,2011,23,6.4,13036
Wind Farm,01,4,2011,24,6.8,15692
Wind Farm,02,4,2011,1,6.5,13936
Wind Farm,02,4,2011,2,5.4,8256
Wind Farm,02,4,2011,3,7.0,17316
Wind Farm,02,4,2011,4,6.3,13736
Wind Farm,02,4,2011,5,7.7,24668
Wind Farm,02,4,2011,6,6.4,13320
Wind Farm,02,4,2011,7,6.4,14316
Wind Farm,02,4,2011,8,7.8,24916
Wind Farm,02,4,2011,9,9.1,36472
Wind Farm,02,4,2011,10,8.8,32888
Wind Farm,02,4,2011,11,8.2,25304
Wind Farm,02,4,2011,12,6.5,12660
Wind Farm,02,4,2011,13,6.7,13040
Wind Farm,02,4,2011,14,6.5,6428
Wind Farm,02,4,2011,15,6.0,1172
Wind Farm,02,4,2011,16,5.5,0
Wind Farm,02,4,2011,17,5.8,2140
Wind Farm,02,4,2011,18,7.3,8520
