Year,Month,Day,Hour,Calc_Sector_KW,Cloud_Cover_Fraction,Dew_Point,Humidity_Fraction,Precipitable_Water,Temperature,Visibility,Day_of_week,Weekdays,HolidayName,School_Day,Solar_Elevation
Consumption,1,1,1,77215.4155366282,1,-8.9,0.81,6,-6.1,4,1,Sun,New Year's Day,0,-68.5327687
Consumption,1,1,2,71706.5908939008,1,-9.4,0.84,6,-7.2,4,1,Sun,New Year's Day,0,-69.94281936
Consumption,1,1,3,74560.97122185,1,-10.6,0.81,6,-7.8,4,1,Sun,New Year's Day,0,-64.44836741
Consumption,1,1,4,71236.6593260217,1,-10.6,0.81,6,-7.8,4,1,Sun,New Year's Day,0,-55.25444713
Consumption,1,1,5,79845.4260283389,1,-11.7,0.77,6,-8.3,4,1,Sun,New Year's Day,0,-44.69331792
Consumption,1,1,6,89642.3735723105,1,-12.2,0.74,5,-8.3,4,1,Sun,New Year's Day,0,-33.71876006
Consumption,1,1,7,112646.165496005,1,-12.2,0.81,5,-9.4,4,1,Sun,New Year's Day,0,-22.7800838
Consumption,1,1,8,116870.779624402,1,-13.9,0.74,5,-10,4.8,1,Sun,New Year's Day,0,-12.17977053
Consumption,1,1,9,99892.8369679314,1,-14.4,0.73,5,-10.6,4.8,1,Sun,New Year's Day,0,-2.204645358
Consumption,1,1,10,85579.3552210958,0.8,-14.4,0.73,5,-10.6,8,1,Sun,New Year's Day,0,6.8107831116
Consumption,1,1,11,83191.8574726023,1,-13.9,0.77,5,-10.6,9.7,1,Sun,New Year's Day,0,14.448188867
Consumption,1,1,12,81303.0818732186,1,-13.3,0.74,5,-9.4,3.2,1,Sun,New Year's Day,0,20.203602034
Consumption,1,1,13,83387.7740744424,1,-13.3,0.74,5,-9.4,4.8,1,Sun,New Year's Day,0,23.554537186
Consumption,1,1,14,78872.9902327039,1,-12.8,0.77,5,-9.4,8,1,Sun,New Year's Day,0,24.117102188
Consumption,1,1,15,78827.7525723953,0.8,-13.9,0.74,5,-10,8,1,Sun,New Year's Day,0,21.819827005
Consumption,1,1,16,79354.2058311416,0.8,-13.3,0.74,5,-9.4,9.7,1,Sun,New Year's Day,0,16.941467917
Consumption,1,1,17,101104.78411289,0.9,-13.3,0.77,5,-10,9.7,1,Sun,New Year's Day,0,9.9732413843
Consumption,1,1,18,136311.71785392,0.8,-13.3,0.8,5,-10.6,16.1,1,Sun,New Year's Day,0,1.4394823075
Consumption,1,1,19,145293.087989397,0.7,-15,0.73,5,-11.1,16.1,1,Sun,New Year's Day,0,-8.205368552
Consumption,1,1,20,138651.609308409,1,-14.4,0.73,5,-10.6,16.1,1,Sun,New Year's Day,0,-18.59686311
Consumption,1,1,21,138802.939110878,1,-13.9,0.74,5,-10,16.1,1,Sun,New Year's Day,0,-29.43493063
Consumption,1,1,22,121518.711561139,1,-14.4,0.7,5,-10,16.1,1,Sun,New Year's Day,0,-40.43243989
Consumption,1,1,23,106620.794523761,1,-13.3,0.77,5,-10,16.1,1,Sun,New Year's Day,0,-51.21957736
Consumption,1,1,24,89505.6999860803,1,-12.8,0.8,5,-10,8,1,Sun,New Year's Day,0,-61.10563897
Consumption,1,2,1,80352.6130452882,1,-13.9,0.8,5,-11.1,16.1,2,Mon,NULL,0,-68.41787332
Consumption,1,2,2,74184.6064897581,1,-14.4,0.77,5,-11.1,16.1,2,Mon,NULL,0,-69.8811671
Consumption,1,2,3,77064.7916201331,1,-15,0.77,5,-11.7,16.1,2,Mon,NULL,0,-64.44317567
Consumption,1,2,4,73723.3525392133,1,-15,0.8,5,-12.2,16.1,2,Mon,NULL,0,-55.27785651
Consumption,1,2,5,83978.1821523966,0.8,-17.2,0.83,4,-15,16.1,2,Mon,NULL,0,-44.7277555
Consumption,1,2,6,94339.8131345533,0.7,-17.2,0.83,4,-15,16.1,2,Mon,NULL,0,-33.75530473
Consumption,1,2,7,156178.221210211,0.7,-17.2,0.8,4,-14.4,16.1,2,Mon,NULL,0,-22.81335099
Consumption,1,2,8,162584.705104275,0.7,-17.2,0.83,4,-15,16.1,2,Mon,NULL,0,-12.20563029
Consumption,1,2,9,146571.418063117,0.4,-16.7,0.83,4,-14.4,16.1,2,Mon,NULL,0,-2.219228015
Consumption,1,2,10,128699.089323158,0.4,-15.6,0.8,5,-12.8,16.1,2,Mon,NULL,0,6.8115110956
