Year,Month,Day,Hour,Cloud_Cover_Fraction,Dew_Point,Humidity_Fraction,Precipitable_Water,Temperature,Visibility,Day_of_week,Weekdays,HolidayName,School_Day,Solar_Elevation,FOOD_SERVICE,GROCERY,HEALTH_CARE,K12_SCHOOLS,LODGING,OFFICE,RESIDENTIAL,STAND_ALONE_RETAIL
Consumption,1,1,1,1,-8.9,0.81,6,-6.1,4,1,Sun,New Year's Day,0,-68.5327687,5240.358908,1096.297149,2307.216574,1984.35569,1125.486087,19108.97686,45875.73907,477.0018854
Consumption,1,1,2,1,-9.4,0.84,6,-7.2,4,1,Sun,New Year's Day,0,-69.94281936,3666.285758,1097.042106,2358.377937,1977.208735,1131.096791,16635.49628,44355.77147,485.3139078
Consumption,1,1,3,1,-10.6,0.81,6,-7.8,4,1,Sun,New Year's Day,0,-64.44836741,3673.960332,1067.347195,2329.567789,1998.867496,1069.825145,20052.79651,43877.8255,490.8081159
Consumption,1,1,4,1,-10.6,0.81,6,-7.8,4,1,Sun,New Year's Day,0,-55.25444713,3678.382266,1116.774474,2322.396506,1982.546991,1083.44356,16970.89627,43589.61252,492.574948
Consumption,1,1,5,1,-11.7,0.77,6,-8.3,4,1,Sun,New Year's Day,0,-44.69331792,3736.219406,1175.213337,2344.384257,2001.978486,1127.795007,20161.02661,48802.99487,495.8282011
Consumption,1,1,6,1,-12.2,0.74,5,-8.3,4,1,Sun,New Year's Day,0,-33.71876006,5297.753197,1151.933455,2344.087308,1988.04491,1226.523277,17068.21766,60068.57824,497.2662185
Consumption,1,1,7,1,-12.2,0.81,5,-9.4,4,1,Sun,New Year's Day,0,-22.7800838,10899.96838,1485.322602,2579.123223,2002.441701,1618.414468,20389.16448,73170.90223,500.8551872
Consumption,1,1,8,1,-13.9,0.74,5,-10,4.8,1,Sun,New Year's Day,0,-12.17977053,10880.91446,1594.136249,2562.145475,1968.781085,1897.65105,17378.42833,80086.07964,502.6126884
Consumption,1,1,9,1,-14.4,0.73,5,-10.6,4.8,1,Sun,New Year's Day,0,-2.204645358,7966.313362,1857.060615,2784.451096,1774.689619,2162.337995,18595.18265,63836.56124,916.2352818
Consumption,1,1,10,0.8,-14.4,0.73,5,-10.6,8,1,Sun,New Year's Day,0,6.810783112,7969.918967,1526.80163,2738.780686,1679.07102,1924.445127,14339.31394,54558.97559,842.0132705
Consumption,1,1,11,1,-13.9,0.77,5,-10.6,9.7,1,Sun,New Year's Day,0,14.44818887,9902.651682,1942.218337,2761.213281,1715.231638,1509.786992,16848.73555,47093.43847,1418.570767
Consumption,1,1,12,1,-13.3,0.74,5,-9.4,3.2,1,Sun,New Year's Day,0,20.20360203,10349.87803,2320.094908,2811.527431,1704.151845,1475.747054,13803.34133,47421.56085,1416.79995
Consumption,1,1,13,1,-13.3,0.74,5,-9.4,4.8,1,Sun,New Year's Day,0,23.55453719,9986.856038,2405.549458,2833.625525,1694.827853,1470.383099,16318.77978,46874.52621,1803.231622
Consumption,1,1,14,1,-12.8,0.77,5,-9.4,8,1,Sun,New Year's Day,0,24.11710219,9909.516313,2371.272645,2800.755302,1680.29615,1465.848966,13128.16546,45716.50009,1800.624723
Consumption,1,1,15,0.8,-13.9,0.74,5,-10,8,1,Sun,New Year's Day,0,21.81982701,7975.5041,2325.996308,2779.952258,1682.217194,1458.958518,15533.29888,45274.62951,1797.156958
Consumption,1,1,16,0.8,-13.3,0.74,5,-9.4,9.7,1,Sun,New Year's Day,0,16.94146792,7970.043105,2284.832899,2790.620803,1674.550245,1448.075201,12774.00097,48615.48424,1796.568241
Consumption,1,1,17,0.9,-13.3,0.77,5,-10,9.7,1,Sun,New Year's Day,0,9.973241384,7938.830358,2284.882092,2675.989073,1698.258653,1533.187291,16028.95157,67145.71746,1798.985899
Consumption,1,1,18,0.8,-13.3,0.8,5,-10.6,16.1,1,Sun,New Year's Day,0,1.439482308,10854.24178,2106.30958,2507.364345,1963.556146,1832.400875,16783.15131,98552.79709,1711.855749
