City,Year,Month,Day,Hour,Cloud_Cover_Fraction,Dew_Point,Humidity_Fraction,Precipitation,Pressure,Temperature,Visibility,Wind_Speed,Consumption_type,Car_Electricity_KW_SQFT,Day_of_week,Weekdays,HolidayName,School_Day
Power City,Scenario,1,1,1,1,-1.7,0.9225,0,975,-0.6,2.012,5.7,ELECTRIC_CAR,22597.669011,3,Tue,New Year's Day,0
Power City,Scenario,1,1,2,1,-1.7,0.9568,0.3,973.9,-1.1,0.8,6.2,ELECTRIC_CAR,22597.669011,3,Tue,New Year's Day,0
Power City,Scenario,1,1,3,1,-2.8,0.882,0.8,973.4,-1.1,0.805,6.2,ELECTRIC_CAR,22597.669011,3,Tue,New Year's Day,0
Power City,Scenario,1,1,4,1,-2.8,0.9218,1.3,974,-1.7,0.805,4.6,ELECTRIC_CAR,22597.669011,3,Tue,New Year's Day,0
Power City,Scenario,1,1,5,1,-3.9,0.881,0.3,974.4,-2.2,0.805,6.7,ELECTRIC_CAR,22597.669011,3,Tue,New Year's Day,0
Power City,Scenario,1,1,6,1,-3.3,0.9214,0.5,975.4,-2.2,0.805,6.2,ELECTRIC_CAR,0,3,Tue,New Year's Day,0
Power City,Scenario,1,1,7,1,-3.9,0.881,0.3,976.7,-2.2,0.805,6.2,ELECTRIC_CAR,0,3,Tue,New Year's Day,0
Power City,Scenario,1,1,8,1,-4.4,0.887,0.3,978.2,-2.8,1.2,6.2,ELECTRIC_CAR,0,3,Tue,New Year's Day,0
Power City,Scenario,1,1,9,0.9,-5.6,0.8407,0,979,-3.3,1.207,6.2,ELECTRIC_CAR,0,3,Tue,New Year's Day,0
Power City,Scenario,1,1,10,0.9,-6.7,0.8782,0,980,-5,9.656,4.6,ELECTRIC_CAR,0,3,Tue,New Year's Day,0
Power City,Scenario,1,1,11,0.9,-6.7,0.8393,0,981,-4.4,8.047,5.1,ELECTRIC_CAR,0,3,Tue,New Year's Day,0
Power City,Scenario,1,1,12,0.9,-6.1,0.8092,0,981.6,-3.3,14.484,5.1,ELECTRIC_CAR,0,3,Tue,New Year's Day,0
Power City,Scenario,1,1,13,0.9,-5,0.7814,0,981.6,-1.7,16.093,5.1,ELECTRIC_CAR,0,3,Tue,New Year's Day,0
Power City,Scenario,1,1,14,1,-3.9,0.7832,0,982.2,-0.6,16,4.6,ELECTRIC_CAR,0,3,Tue,New Year's Day,0
Power City,Scenario,1,1,15,1,-3.9,0.8124,0,982.3,-1.1,9.656,4.6,ELECTRIC_CAR,0,3,Tue,New Year's Day,0
Power City,Scenario,1,1,16,1,-3.3,0.8497,0,982.6,-1.1,9.656,4.6,ELECTRIC_CAR,0,3,Tue,New Year's Day,0
Power City,Scenario,1,1,17,1,-3.3,0.8497,0,983.3,-1.1,6.437,4.1,ELECTRIC_CAR,0,3,Tue,New Year's Day,0
Power City,Scenario,1,1,18,1,-3.3,0.888,0,984.3,-1.7,4.023,4.1,ELECTRIC_CAR,0,3,Tue,New Year's Day,0
Power City,Scenario,1,1,19,1,-2.8,0.9218,0.3,984.9,-1.7,4.828,3.1,ELECTRIC_CAR,0,3,Tue,New Year's Day,0
Power City,Scenario,1,1,20,1,-3.9,0.881,0.3,985.8,-2.2,2.4,3.6,ELECTRIC_CAR,0,3,Tue,New Year's Day,0
Power City,Scenario,1,1,21,1,-3.9,0.881,0.3,986.3,-2.2,2.012,4.1,ELECTRIC_CAR,0,3,Tue,New Year's Day,0
