Year,Month,Day,Day_of_week,Weekdays,HolidayName,School_Day
Consumption,1,1,1,Sun,New Year's Day,0
Consumption,1,2,2,Mon,,0
Consumption,1,3,3,Tue,,0
Consumption,1,4,4,Wed,,0
Consumption,1,5,5,Thu,,0
Consumption,1,6,6,Fri,,0
Consumption,1,7,7,Sat,,0
Consumption,1,8,1,Sun,,0
Consumption,1,9,2,Mon,,1
Consumption,1,10,3,Tue,,1
Consumption,1,11,4,Wed,,1
Consumption,1,12,5,Thu,,1
Consumption,1,13,6,Fri,,1
Consumption,1,14,7,Sat,,0
Consumption,1,15,1,Sun,,0
Consumption,1,16,2,Mon,Martin Luther King Day,0
Consumption,1,17,3,Tue,,1
Consumption,1,18,4,Wed,,1
Consumption,1,19,5,Thu,,1
Consumption,1,20,6,Fri,,1
Consumption,1,21,7,Sat,,0
Consumption,1,22,1,Sun,,0
Consumption,1,23,2,Mon,,1
Consumption,1,24,3,Tue,,1
Consumption,1,25,4,Wed,,1
Consumption,1,26,5,Thu,,1
Consumption,1,27,6,Fri,,1
Consumption,1,28,7,Sat,,0
Consumption,1,29,1,Sun,,0
Consumption,1,30,2,Mon,,1
Consumption,1,31,3,Tue,,1
Consumption,2,1,4,Wed,,1
Consumption,2,2,5,Thu,,1
Consumption,2,3,6,Fri,,1
Consumption,2,4,7,Sat,,0
Consumption,2,5,1,Sun,,0
Consumption,2,6,2,Mon,,1
Consumption,2,7,3,Tue,,1
Consumption,2,8,4,Wed,,1
Consumption,2,9,5,Thu,,1
Consumption,2,10,6,Fri,,1
Consumption,2,11,7,Sat,,0
Consumption,2,12,1,Sun,,0
Consumption,2,13,2,Mon,,1
Consumption,2,14,3,Tue,,1
Consumption,2,15,4,Wed,,1
Consumption,2,16,5,Thu,,1
Consumption,2,17,6,Fri,,1
Consumption,2,18,7,Sat,,0
Consumption,2,19,1,Sun,,0
Consumption,2,20,2,Mon,Presidents' Day,0
Consumption,2,21,3,Tue,,1
Consumption,2,22,4,Wed,,1
Consumption,2,23,5,Thu,,1
Consumption,2,24,6,Fri,,1
Consumption,2,25,7,Sat,,0
Consumption,2,26,1,Sun,,0
Consumption,2,27,2,Mon,,1
Consumption,2,28,3,Tue,,1
Consumption,3,1,4,Wed,,1
Consumption,3,2,5,Thu,,1
Consumption,3,3,6,Fri,,1
Consumption,3,4,7,Sat,,0
Consumption,3,5,1,Sun,,0
Consumption,3,6,2,Mon,,1
Consumption,3,7,3,Tue,,1
Consumption,3,8,4,Wed,,1
Consumption,3,9,5,Thu,,1
Consumption,3,10,6,Fri,,1
Consumption,3,11,7,Sat,,0
Consumption,3,12,1,Sun,,0
Consumption,3,13,2,Mon,,1
Consumption,3,14,3,Tue,,1
Consumption,3,15,4,Wed,,1
Consumption,3,16,5,Thu,,1
Consumption,3,17,6,Fri,,1
Consumption,3,18,7,Sat,,0
Consumption,3,19,1,Sun,,0
Consumption,3,20,2,Mon,,1
Consumption,3,21,3,Tue,,1
Consumption,3,22,4,Wed,,1
Consumption,3,23,5,Thu,,1
