Year,Month,Day,Hour,Sector,Electricity_KW_SQFT
Consumption,1,1,1,FOOD_SERVICE,0.0054160664
Consumption,1,1,1,GROCERY,0.0020302509
Consumption,1,1,1,HEALTH_CARE,0.002389971
Consumption,1,1,1,K12_SCHOOLS,0.0008177919
Consumption,1,1,1,LODGING,0.0012087326
Consumption,1,1,1,OFFICE,0.001910949
Consumption,1,1,1,RESIDENTIAL,0.0005408382
Consumption,1,1,1,STAND_ALONE_RETAIL,0.000490762
Consumption,1,1,2,FOOD_SERVICE,0.0037892151
Consumption,1,1,2,GROCERY,0.0020316305
Consumption,1,1,2,HEALTH_CARE,0.0024429674
Consumption,1,1,2,K12_SCHOOLS,0.0008148465
Consumption,1,1,2,LODGING,0.0012147583
Consumption,1,1,2,OFFICE,0.0016635943
Consumption,1,1,2,RESIDENTIAL,0.000522919
Consumption,1,1,2,STAND_ALONE_RETAIL,0.0004993138
Consumption,1,1,3,FOOD_SERVICE,0.003797147
Consumption,1,1,3,GROCERY,0.001976638
Consumption,1,1,3,HEALTH_CARE,0.0024131239
Consumption,1,1,3,K12_SCHOOLS,0.0008237725
Consumption,1,1,3,LODGING,0.0011489547
Consumption,1,1,3,OFFICE,0.0020053335
Consumption,1,1,3,RESIDENTIAL,0.0005172844
Consumption,1,1,3,STAND_ALONE_RETAIL,0.0005049665
Consumption,1,1,4,FOOD_SERVICE,0.0038017172
Consumption,1,1,4,GROCERY,0.0020681732
Consumption,1,1,4,HEALTH_CARE,0.0024056954
Consumption,1,1,4,K12_SCHOOLS,0.0008170465
Consumption,1,1,4,LODGING,0.0011635804
Consumption,1,1,4,OFFICE,0.0016971352
Consumption,1,1,4,RESIDENTIAL,0.0005138866
Consumption,1,1,4,STAND_ALONE_RETAIL,0.0005067843
Consumption,1,1,5,FOOD_SERVICE,0.0038614936
Consumption,1,1,5,GROCERY,0.0021763971
Consumption,1,1,5,HEALTH_CARE,0.0024284718
Consumption,1,1,5,K12_SCHOOLS,0.0008250546
Consumption,1,1,5,LODGING,0.0012112123
Consumption,1,1,5,OFFICE,0.0020161568
Consumption,1,1,5,RESIDENTIAL,0.0005753482
Consumption,1,1,5,STAND_ALONE_RETAIL,0.0005101314
Consumption,1,1,6,FOOD_SERVICE,0.0054753851
Consumption,1,1,6,GROCERY,0.0021332847
Consumption,1,1,6,HEALTH_CARE,0.0024281642
Consumption,1,1,6,K12_SCHOOLS,0.0008193123
Consumption,1,1,6,LODGING,0.001317243
Consumption,1,1,6,OFFICE,0.0017068676
Consumption,1,1,6,RESIDENTIAL,0.0007081604
Consumption,1,1,6,STAND_ALONE_RETAIL,0.0005116109
Consumption,1,1,7,FOOD_SERVICE,0.0112654407
Consumption,1,1,7,GROCERY,0.0027506936
Consumption,1,1,7,HEALTH_CARE,0.0026716303
Consumption,1,1,7,K12_SCHOOLS,0.0008252455
Consumption,1,1,7,LODGING,0.0017381204
Consumption,1,1,7,OFFICE,0.0020389712
Consumption,1,1,7,RESIDENTIAL,0.0008626263
Consumption,1,1,7,STAND_ALONE_RETAIL,0.0005153034
Consumption,1,1,8,FOOD_SERVICE,0.0112457479
Consumption,1,1,8,GROCERY,0.0029522074
Consumption,1,1,8,HEALTH_CARE,0.0026540436
Consumption,1,1,8,K12_SCHOOLS,0.0008113733
Consumption,1,1,8,LODGING,0.0020380107
Consumption,1,1,8,OFFICE,0.0017378895
Consumption,1,1,8,RESIDENTIAL,0.0009441507
Consumption,1,1,8,STAND_ALONE_RETAIL,0.0005171116
Consumption,1,1,9,FOOD_SERVICE,0.0082334212
Consumption,1,1,9,GROCERY,0.0034391214
Consumption,1,1,9,HEALTH_CARE,0.0028843228
Consumption,1,1,9,K12_SCHOOLS,0.0007313844
Consumption,1,1,9,LODGING,0.0023222752
Consumption,1,1,9,OFFICE,0.0018595682
Consumption,1,1,9,RESIDENTIAL,0.0007525819
Consumption,1,1,9,STAND_ALONE_RETAIL,0.000942666
Consumption,1,1,10,FOOD_SERVICE,0.0082371477
Consumption,1,1,10,GROCERY,0.0028275093
Consumption,1,1,10,HEALTH_CARE,0.0028370143
Consumption,1,1,10,K12_SCHOOLS,0.0006919781
Consumption,1,1,10,LODGING,0.0020667866
Consumption,1,1,10,OFFICE,0.0014339699
Consumption,1,1,10,RESIDENTIAL,0.0006432066
Consumption,1,1,10,STAND_ALONE_RETAIL,0.0008663029
Consumption,1,1,11,FOOD_SERVICE,0.0102346843
Consumption,1,1,11,GROCERY,0.0035968264
Consumption,1,1,11,HEALTH_CARE,0.0028602515
