City,Year,Month,Day,Hour,Solar_Elevation
Power City,Consumption,1,1,1,-68.5327687
Power City,Consumption,1,1,2,-69.94281936
Power City,Consumption,1,1,3,-64.44836741
Power City,Consumption,1,1,4,-55.25444713
Power City,Consumption,1,1,5,-44.69331792
Power City,Consumption,1,1,6,-33.71876006
Power City,Consumption,1,1,7,-22.7800838
Power City,Consumption,1,1,8,-12.17977053
Power City,Consumption,1,1,9,-2.204645358
Power City,Consumption,1,1,10,6.8107831116
Power City,Consumption,1,1,11,14.448188867
Power City,Consumption,1,1,12,20.203602034
Power City,Consumption,1,1,13,23.554537186
Power City,Consumption,1,1,14,24.117102188
Power City,Consumption,1,1,15,21.819827005
Power City,Consumption,1,1,16,16.941467917
Power City,Consumption,1,1,17,9.9732413843
Power City,Consumption,1,1,18,1.4394823075
Power City,Consumption,1,1,19,-8.205368552
Power City,Consumption,1,1,20,-18.59686311
Power City,Consumption,1,1,21,-29.43493063
Power City,Consumption,1,1,22,-40.43243989
Power City,Consumption,1,1,23,-51.21957736
Power City,Consumption,1,1,24,-61.10563897
Power City,Consumption,1,2,1,-68.41787332
Power City,Consumption,1,2,2,-69.8811671
Power City,Consumption,1,2,3,-64.44317567
Power City,Consumption,1,2,4,-55.27785651
Power City,Consumption,1,2,5,-44.7277555
Power City,Consumption,1,2,6,-33.75530473
Power City,Consumption,1,2,7,-22.81335099
Power City,Consumption,1,2,8,-12.20563029
Power City,Consumption,1,2,9,-2.219228015
Power City,Consumption,1,2,10,6.8115110956
Power City,Consumption,1,2,11,14.468398703
Power City,Consumption,1,2,12,20.246963178
Power City,Consumption,1,2,13,23.622887237
Power City,Consumption,1,2,14,24.209091427
Power City,Consumption,1,2,15,21.930938442
Power City,Consumption,1,2,16,17.065782149
Power City,Consumption,1,2,17,10.10543319
Power City,Consumption,1,2,18,1.5757430107
Power City,Consumption,1,2,19,-8.06736243
Power City,Consumption,1,2,20,-18.45831721
Power City,Consumption,1,2,21,-29.29628155
Power City,Consumption,1,2,22,-40.29363781
Power City,Consumption,1,2,23,-51.08056982
Power City,Consumption,1,2,24,-60.9684537
Power City,Consumption,1,3,1,-68.29612352
Power City,Consumption,1,3,2,-69.8111952
Power City,Consumption,1,3,3,-64.43046269
Power City,Consumption,1,3,4,-55.29483897
Power City,Consumption,1,3,5,-44.75634717
Power City,Consumption,1,3,6,-33.78619985
Power City,Consumption,1,3,7,-22.84092162
Power City,Consumption,1,3,8,-12.22558382
Power City,Consumption,1,3,9,-2.22758128
Power City,Consumption,1,3,10,6.8188624202
Power City,Consumption,1,3,11,14.495639561
Power City,Consumption,1,3,12,20.297688772
Power City,Consumption,1,3,13,23.698744316
Power City,Consumption,1,3,14,24.308439304
Power City,Consumption,1,3,15,22.048957942
Power City,Consumption,1,3,16,17.196348581
Power City,Consumption,1,3,17,10.243155434
Power City,Consumption,1,3,18,1.7168575874
Power City,Consumption,1,3,19,-7.925068835
Power City,Consumption,1,3,20,-18.31590362
Power City,Consumption,1,3,21,-29.1540049
Power City,Consumption,1,3,22,-40.15121229
Power City,Consumption,1,3,23,-50.93758925
Power City,Consumption,1,3,24,-60.82635037
Power City,Consumption,1,4,1,-68.16763052
Power City,Consumption,1,4,2,-69.73293207
Power City,Consumption,1,4,3,-64.41015583
Power City,Consumption,1,4,4,-55.30529958
Power City,Consumption,1,4,5,-44.77900232
Power City,Consumption,1,4,6,-33.81136505
Power City,Consumption,1,4,7,-22.86272739
Power City,Consumption,1,4,8,-12.23957616
Power City,Consumption,1,4,9,-2.22966482
Power City,Consumption,1,4,10,6.8328614994
Power City,Consumption,1,4,11,14.529918948
Power City,Consumption,1,4,12,20.355768968
Power City,Consumption,1,4,13,23.782081164
Power City,Consumption,1,4,14,24.415101047
Power City,Consumption,1,4,15,22.173823471
Power City,Consumption,1,4,16,17.333089689
Power City,Consumption,1,4,17,10.386318581
Power City,Consumption,1,4,18,1.8627286141
Power City,Consumption,1,4,19,-7.778589386
Power City,Consumption,1,4,20,-18.16972535
Power City,Consumption,1,4,21,-29.00820319
Power City,Consumption,1,4,22,-40.00526474
Power City,Consumption,1,4,23,-50.79073732
Power City,Consumption,1,4,24,-60.67943624
Power City,Consumption,1,5,1,-68.03250671
Power City,Consumption,1,5,2,-69.64641364
Power City,Consumption,1,5,3,-64.38218834
Power City,Consumption,1,5,4,-55.30914691
Power City,Consumption,1,5,5,-44.79563322
Power City,Consumption,1,5,6,-33.83072281
Power City,Consumption,1,5,7,-22.87870305
Power City,Consumption,1,5,8,-12.2475556
Power City,Consumption,1,5,9,-2.225441756
Power City,Consumption,1,5,10,6.853529186
Power City,Consumption,1,5,11,14.571240806
Power City,Consumption,1,5,12,20.421190459
Power City,Consumption,1,5,13,23.872867226
Power City,Consumption,1,5,14,24.529028757
Power City,Consumption,1,5,15,22.305470043
Power City,Consumption,1,5,16,17.47592527
Power City,Consumption,1,5,17,10.534830851
Power City,Consumption,1,5,18,2.0132569815
Power City,Consumption,1,5,19,-7.62802674
Power City,Consumption,1,5,20,-18.01988574
Power City,Consumption,1,5,21,-28.85897865
Power City,Consumption,1,5,22,-39.85589559
Power City,Consumption,1,5,23,-50.64011412
Power City,Consumption,1,5,24,-60.52781695
Power City,Consumption,1,6,1,-67.89086536
Power City,Consumption,1,6,2,-69.55168317
Power City,Consumption,1,6,3,-64.3464997
Power City,Consumption,1,6,4,-55.30629338
Power City,Consumption,1,6,5,-44.80615522
Power City,Consumption,1,6,6,-33.84419863
Power City,Consumption,1,6,7,-22.88878649
Power City,Consumption,1,6,8,-12.2494738
Power City,Consumption,1,6,9,-2.214878708
Power City,Consumption,1,6,10,6.8808827498
Power City,Consumption,1,6,11,14.619605515
Power City,Consumption,1,6,12,20.493936504
Power City,Consumption,1,6,13,23.971068692
Power City,Consumption,1,6,14,24.650171457
Power City,Consumption,1,6,15,22.443829785
Power City,Consumption,1,6,16,17.62477252
Power City,Consumption,1,6,17,10.6885983
Power City,Consumption,1,6,18,2.1683419969
Power City,Consumption,1,6,19,-7.473484489
Power City,Consumption,1,6,20,-17.86648841
Power City,Consumption,1,6,21,-28.70643306
Power City,Consumption,1,6,22,-39.70320419
Power City,Consumption,1,6,23,-50.48581811
Power City,Consumption,1,6,24,-60.37159638
Power City,Consumption,1,7,1,-67.74282028
Power City,Consumption,1,7,2,-69.44879106
Power City,Consumption,1,7,3,-64.30303591
Power City,Consumption,1,7,4,-55.2966555
Power City,Consumption,1,7,5,-44.81048694
Power City,Consumption,1,7,6,-33.85172116
Power City,Consumption,1,7,7,-22.89291888
Power City,Consumption,1,7,8,-12.2452858
Power City,Consumption,1,7,9,-2.197945843
Power City,Consumption,1,7,10,6.9149358575
Power City,Consumption,1,7,11,14.6750099
Power City,Consumption,1,7,12,20.573986944
Power City,Consumption,1,7,13,24.076648538
Power City,Consumption,1,7,14,24.778475151
Power City,Consumption,1,7,15,22.588832003
Power City,Consumption,1,7,16,17.779546114
Power City,Consumption,1,7,17,10.847524921
Power City,Consumption,1,7,18,2.3278814893
Power City,Consumption,1,7,19,-7.315067041
Power City,Consumption,1,7,20,-17.70963711
