City,Year,Month,Day,Hour,Cloud_Cover_Fraction,Dew_Point,Humidity_Fraction,Precipitable_Water,Temperature,Visibility
Power City,Consumption,1,1,1,1,-8.9,0.81,6,-6.1,4
Power City,Consumption,1,1,2,1,-9.4,0.84,6,-7.2,4
Power City,Consumption,1,1,3,1,-10.6,0.81,6,-7.8,4
Power City,Consumption,1,1,4,1,-10.6,0.81,6,-7.8,4
Power City,Consumption,1,1,5,1,-11.7,0.77,6,-8.3,4
Power City,Consumption,1,1,6,1,-12.2,0.74,5,-8.3,4
Power City,Consumption,1,1,7,1,-12.2,0.81,5,-9.4,4
Power City,Consumption,1,1,8,1,-13.9,0.74,5,-10,4.8
Power City,Consumption,1,1,9,1,-14.4,0.73,5,-10.6,4.8
Power City,Consumption,1,1,10,0.8,-14.4,0.73,5,-10.6,8
Power City,Consumption,1,1,11,1,-13.9,0.77,5,-10.6,9.7
Power City,Consumption,1,1,12,1,-13.3,0.74,5,-9.4,3.2
Power City,Consumption,1,1,13,1,-13.3,0.74,5,-9.4,4.8
Power City,Consumption,1,1,14,1,-12.8,0.77,5,-9.4,8
Power City,Consumption,1,1,15,0.8,-13.9,0.74,5,-10,8
Power City,Consumption,1,1,16,0.8,-13.3,0.74,5,-9.4,9.7
Power City,Consumption,1,1,17,0.9,-13.3,0.77,5,-10,9.7
Power City,Consumption,1,1,18,0.8,-13.3,0.8,5,-10.6,16.1
Power City,Consumption,1,1,19,0.7,-15,0.73,5,-11.1,16.1
Power City,Consumption,1,1,20,1,-14.4,0.73,5,-10.6,16.1
Power City,Consumption,1,1,21,1,-13.9,0.74,5,-10,16.1
Power City,Consumption,1,1,22,1,-14.4,0.7,5,-10,16.1
Power City,Consumption,1,1,23,1,-13.3,0.77,5,-10,16.1
Power City,Consumption,1,1,24,1,-12.8,0.8,5,-10,8
Power City,Consumption,1,2,1,1,-13.9,0.8,5,-11.1,16.1
Power City,Consumption,1,2,2,1,-14.4,0.77,5,-11.1,16.1
Power City,Consumption,1,2,3,1,-15,0.77,5,-11.7,16.1
Power City,Consumption,1,2,4,1,-15,0.8,5,-12.2,16.1
Power City,Consumption,1,2,5,0.8,-17.2,0.83,4,-15,16.1
Power City,Consumption,1,2,6,0.7,-17.2,0.83,4,-15,16.1
Power City,Consumption,1,2,7,0.7,-17.2,0.8,4,-14.4,16.1
Power City,Consumption,1,2,8,0.7,-17.2,0.83,4,-15,16.1
Power City,Consumption,1,2,9,0.4,-16.7,0.83,4,-14.4,16.1
Power City,Consumption,1,2,10,0.4,-15.6,0.8,5,-12.8,16.1
Power City,Consumption,1,2,11,0,-14.4,0.73,5,-10.6,16.1
Power City,Consumption,1,2,12,0,-13.9,0.68,5,-8.9,16.1
Power City,Consumption,1,2,13,0,-15.6,0.52,5,-7.2,16.1
Power City,Consumption,1,2,14,0,-15,0.52,5,-6.7,16.1
Power City,Consumption,1,2,15,0,-14.4,0.52,5,-6.1,16.1
Power City,Consumption,1,2,16,0,-13.9,0.52,5,-5.6,16.1
Power City,Consumption,1,2,17,0,-13.9,0.52,5,-5.6,16.1
Power City,Consumption,1,2,18,0,-13.9,0.57,5,-6.7,16.1
Power City,Consumption,1,2,19,0,-13.3,0.6,5,-6.7,16.1
Power City,Consumption,1,2,20,0,-13.3,0.6,5,-6.7,16.1
Power City,Consumption,1,2,21,0.5,-12.2,0.65,5,-6.7,16.1
Power City,Consumption,1,2,22,0.8,-14.4,0.54,5,-6.7,16.1
Power City,Consumption,1,2,23,1,-12.8,0.6,5,-6.1,16.1
Power City,Consumption,1,2,24,1,-11.7,0.68,6,-6.7,16.1
Power City,Consumption,1,3,1,0.3,-12.8,0.68,5,-7.8,16.1
Power City,Consumption,1,3,2,0.2,-12.8,0.68,5,-7.8,16.1
Power City,Consumption,1,3,3,0,-12.8,0.68,5,-7.8,16.1
Power City,Consumption,1,3,4,0,-12.8,0.71,5,-8.3,16.1
Power City,Consumption,1,3,5,0,-12.8,0.71,5,-8.3,16.1
Power City,Consumption,1,3,6,0,-12.2,0.74,5,-8.3,16.1
Power City,Consumption,1,3,7,0,-12.2,0.74,5,-8.3,16.1
Power City,Consumption,1,3,8,0,-12.2,0.74,5,-8.3,16.1
Power City,Consumption,1,3,9,0,-12.2,0.71,5,-7.8,16.1
Power City,Consumption,1,3,10,0,-12.2,0.62,5,-6.1,16.1
Power City,Consumption,1,3,11,0.5,-11.7,0.58,6,-4.4,16.1
Power City,Consumption,1,3,12,1,-11.7,0.51,6,-2.8,16.1
Power City,Consumption,1,3,13,1,-11.1,0.47,6,-1.1,16.1
Power City,Consumption,1,3,14,1,-11.1,0.51,6,-2.2,16.1
Power City,Consumption,1,3,15,1,-11.1,0.49,6,-1.7,16.1
Power City,Consumption,1,3,16,1,-11.1,0.47,6,-1.1,16.1
Power City,Consumption,1,3,17,1,-10,0.56,6,-2.2,16.1
Power City,Consumption,1,3,18,1,-10.6,0.53,6,-2.2,16.1
Power City,Consumption,1,3,19,1,-10,0.58,6,-2.8,16.1
Power City,Consumption,1,3,20,1,-9.4,0.61,6,-2.8,16.1
Power City,Consumption,1,3,21,1,-10,0.58,6,-2.8,16.1
Power City,Consumption,1,3,22,1,-10,0.56,6,-2.2,16.1
Power City,Consumption,1,3,23,1,-10,0.56,6,-2.2,16.1
Power City,Consumption,1,3,24,1,-8.9,0.63,6,-2.8,16.1
Power City,Consumption,1,4,1,1,-7.2,0.72,7,-2.8,16.1
Power City,Consumption,1,4,2,1,-6.7,0.75,7,-2.8,16.1
Power City,Consumption,1,4,3,1,-7.2,0.75,7,-3.3,16.1
Power City,Consumption,1,4,4,1,-7.2,0.75,7,-3.3,16.1
Power City,Consumption,1,4,5,1,-10.6,0.63,6,-4.4,16.1
Power City,Consumption,1,4,6,1,-11.7,0.65,6,-6.1,16.1
Power City,Consumption,1,4,7,0.8,-12.8,0.68,5,-7.8,16.1
Power City,Consumption,1,4,8,0.4,-15,0.62,5,-8.9,16.1
Power City,Consumption,1,4,9,0.5,-15,0.67,5,-10,16.1
Power City,Consumption,1,4,10,0.5,-13.9,0.74,5,-10,16.1
Power City,Consumption,1,4,11,1,-12.8,0.8,5,-10,0.8
Power City,Consumption,1,4,12,0.8,-15.6,0.67,5,-10.6,11.3
Power City,Consumption,1,4,13,1,-13.3,0.84,5,-11.1,0.8
Power City,Consumption,1,4,14,1,-13.9,0.8,5,-11.1,0.4
Power City,Consumption,1,4,15,0.9,-15.6,0.77,5,-12.2,0.4
Power City,Consumption,1,4,16,1,-14.4,0.88,5,-12.8,0.3
Power City,Consumption,1,4,17,0.8,-17.2,0.73,4,-13.3,4.8
Power City,Consumption,1,4,18,0.6,-16.7,0.8,4,-13.9,3.2
Power City,Consumption,1,4,19,0.8,-17.2,0.8,4,-14.4,8
Power City,Consumption,1,4,20,1,-16.7,0.8,4,-13.9,4.8
Power City,Consumption,1,4,21,1,-17.8,0.73,4,-13.9,1.6
Power City,Consumption,1,4,22,1,-17.2,0.8,4,-14.4,4.8
Power City,Consumption,1,4,23,1,-17.2,0.8,4,-14.4,2.4
Power City,Consumption,1,4,24,0.6,-18.9,0.73,4,-15,4.8
Power City,Consumption,1,5,1,1,-18.9,0.79,4,-16.1,1.6
Power City,Consumption,1,5,2,1,-21.1,0.69,4,-16.7,4.8
Power City,Consumption,1,5,3,0.3,-21.7,0.72,4,-17.8,11.3
Power City,Consumption,1,5,4,1,-21.1,0.75,4,-17.8,6.4
Power City,Consumption,1,5,5,1,-21.1,0.79,4,-18.3,6.4
Power City,Consumption,1,5,6,0.4,-22.2,0.79,3,-19.4,11.3
Power City,Consumption,1,5,7,0,-22.8,0.83,3,-20.6,16.1
Power City,Consumption,1,5,8,0,-23.9,0.75,3,-20.6,16.1
Power City,Consumption,1,5,9,0,-22.2,0.79,3,-19.4,16.1
Power City,Consumption,1,5,10,0,-20.6,0.79,4,-17.8,16.1
Power City,Consumption,1,5,11,0.6,-20,0.76,4,-16.7,16.1
Power City,Consumption,1,5,12,1,-19.4,0.72,4,-15.6,16.1
Power City,Consumption,1,5,13,0.8,-18.9,0.73,4,-15,3.2
Power City,Consumption,1,5,14,0.8,-17.8,0.73,4,-13.9,8
Power City,Consumption,1,5,15,0.9,-17.8,0.73,4,-13.9,4.8
Power City,Consumption,1,5,16,0.9,-17.8,0.73,4,-13.9,4.8
Power City,Consumption,1,5,17,0.2,-18.9,0.69,4,-14.4,12.9
Power City,Consumption,1,5,18,0.4,-19.4,0.69,4,-15,12.9
Power City,Consumption,1,5,19,0.8,-18.9,0.69,4,-14.4,16.1
Power City,Consumption,1,5,20,0.3,-19.4,0.76,4,-16.1,16.1
Power City,Consumption,1,5,21,0,-20.6,0.76,4,-17.2,16.1
Power City,Consumption,1,5,22,0.3,-18.9,0.83,4,-16.7,16.1
Power City,Consumption,1,5,23,0.8,-19.4,0.83,4,-17.2,4.8
Power City,Consumption,1,5,24,0.8,-18.9,0.83,4,-16.7,2
Power City,Consumption,1,6,1,0.4,-20.6,0.79,4,-17.8,9.7
Power City,Consumption,1,6,2,0,-21.1,0.83,4,-18.9,11.3
Power City,Consumption,1,6,3,0,-21.7,0.83,4,-19.4,11.3
Power City,Consumption,1,6,4,0,-22.2,0.83,3,-20,11.3
Power City,Consumption,1,6,5,0,-22.8,0.83,3,-20.6,11.3
Power City,Consumption,1,6,6,0,-22.8,0.83,3,-20.6,11.3
Power City,Consumption,1,6,7,0,-22.8,0.83,3,-20.6,11.3
Power City,Consumption,1,6,8,0,-23.3,0.82,3,-21.1,11.3
Power City,Consumption,1,6,9,0,-23.3,0.82,3,-21.1,11.3
Power City,Consumption,1,6,10,0,-21.7,0.83,4,-19.4,11.3
Power City,Consumption,1,6,11,0,-20.6,0.79,4,-17.8,11.3
Power City,Consumption,1,6,12,0,-19.4,0.72,4,-15.6,11.3
Power City,Consumption,1,6,13,0,-18.9,0.69,4,-14.4,11.3
Power City,Consumption,1,6,14,0,-18.3,0.66,4,-13.3,11.3
Power City,Consumption,1,6,15,0,-18.3,0.64,4,-12.8,11.3
Power City,Consumption,1,6,16,0.2,-18.3,0.61,4,-12.2,11.3
Power City,Consumption,1,6,17,0.1,-18.3,0.73,4,-14.4,11.3
Power City,Consumption,1,6,18,0.1,-18.3,0.73,4,-14.4,11.3
Power City,Consumption,1,6,19,0,-18.3,0.8,4,-15.6,11.3
Power City,Consumption,1,6,20,0,-20,0.83,4,-17.8,16.1
Power City,Consumption,1,6,21,0,-20,0.83,4,-17.8,16.1
Power City,Consumption,1,6,22,0,-24.4,0.82,3,-22.2,16.1
Power City,Consumption,1,6,23,0,-23.9,0.82,3,-21.7,16.1
Power City,Consumption,1,6,24,0,-23.9,0.82,3,-21.7,16.1
Power City,Consumption,1,7,1,0,-22.2,0.83,3,-20,11.3
Power City,Consumption,1,7,2,0,-22.8,0.83,3,-20.6,11.3
Power City,Consumption,1,7,3,0,-21.7,0.87,4,-20,11.3
Power City,Consumption,1,7,4,0,-22.8,0.83,3,-20.6,11.3
Power City,Consumption,1,7,5,0,-22.8,0.83,3,-20.6,11.3
Power City,Consumption,1,7,6,0.2,-22.8,0.83,3,-20.6,11.3
