Date,Hour,Electricity_KW_HR
25MAR2011,1,6476
25MAR2011,2,3512
25MAR2011,3,2376
25MAR2011,4,3056
25MAR2011,5,2084
25MAR2011,6,1648
25MAR2011,7,788
25MAR2011,8,532
25MAR2011,9,1084
25MAR2011,10,484
25MAR2011,11,68
25MAR2011,12,0
25MAR2011,13,64
25MAR2011,14,260
25MAR2011,15,1112
25MAR2011,16,1952
25MAR2011,17,1752
25MAR2011,18,1936
25MAR2011,19,2168
25MAR2011,20,2000
25MAR2011,21,1408
25MAR2011,22,2164
25MAR2011,23,6780
25MAR2011,24,7792
26MAR2011,1,4068
26MAR2011,2,4920
26MAR2011,3,7440
26MAR2011,4,7064
26MAR2011,5,5524
26MAR2011,6,5492
26MAR2011,7,3632
26MAR2011,8,5884
26MAR2011,9,3256
26MAR2011,10,5944
26MAR2011,11,3204
26MAR2011,12,1964
26MAR2011,13,1564
26MAR2011,14,2728
26MAR2011,15,5128
26MAR2011,16,3988
26MAR2011,17,4232
26MAR2011,18,3684
26MAR2011,19,8816
26MAR2011,20,18396
26MAR2011,21,17164
26MAR2011,22,13832
26MAR2011,23,11860
26MAR2011,24,9832
27MAR2011,1,7468
27MAR2011,2,9392
27MAR2011,3,1140
27MAR2011,4,7616
27MAR2011,5,10116
27MAR2011,6,13480
27MAR2011,7,5704
27MAR2011,8,6264
27MAR2011,9,6180
27MAR2011,10,6768
27MAR2011,11,4884
27MAR2011,12,1136
27MAR2011,13,1100
27MAR2011,14,1440
27MAR2011,15,1552
27MAR2011,16,1232
27MAR2011,17,1148
27MAR2011,18,1088
27MAR2011,19,1448
27MAR2011,20,1936
27MAR2011,21,2440
27MAR2011,22,3644
27MAR2011,23,7928
27MAR2011,24,9212
28MAR2011,1,14136
28MAR2011,2,7052
28MAR2011,3,4116
28MAR2011,4,2960
28MAR2011,5,2500
28MAR2011,6,2888
28MAR2011,7,3916
28MAR2011,8,2164
28MAR2011,9,3148
28MAR2011,10,6316
28MAR2011,11,1848
28MAR2011,12,736
28MAR2011,13,500
28MAR2011,14,444
28MAR2011,15,188
28MAR2011,16,2504
28MAR2011,17,2264
28MAR2011,18,1736
28MAR2011,19,1696
28MAR2011,20,1308
28MAR2011,21,2440
28MAR2011,22,1056
28MAR2011,23,1288
28MAR2011,24,3428
29MAR2011,1,5468
29MAR2011,2,7864
29MAR2011,3,5132
29MAR2011,4,5780
29MAR2011,5,4296
29MAR2011,6,3808
29MAR2011,7,3316
29MAR2011,8,3524
29MAR2011,9,2832
29MAR2011,10,1644
29MAR2011,11,312
29MAR2011,12,40
29MAR2011,13,108
29MAR2011,14,484
29MAR2011,15,760
29MAR2011,16,876
29MAR2011,17,408
29MAR2011,18,144
29MAR2011,19,132
29MAR2011,20,176
29MAR2011,21,476
29MAR2011,22,1664
29MAR2011,23,2232
29MAR2011,24,4736
30MAR2011,1,6408
30MAR2011,2,7276
30MAR2011,3,2640
30MAR2011,4,776
