Location,Date_time,Hour,Wind_Speed
Wind Farm,24MAR11:19:00:00,19,4.7
Wind Farm,24MAR11:20:00:00,20,5.3
Wind Farm,24MAR11:21:00:00,21,6.4
Wind Farm,24MAR11:22:00:00,22,6.1
Wind Farm,24MAR11:23:00:00,23,5.5
Wind Farm,25MAR11:00:00:00,0,4.9
Wind Farm,25MAR11:01:00:00,1,4.1
Wind Farm,25MAR11:02:00:00,2,3.5
Wind Farm,25MAR11:03:00:00,3,3.9
Wind Farm,25MAR11:04:00:00,4,3.4
Wind Farm,25MAR11:05:00:00,5,3.3
Wind Farm,25MAR11:06:00:00,6,2.8
Wind Farm,25MAR11:07:00:00,7,2.5
Wind Farm,25MAR11:08:00:00,8,2.9
Wind Farm,25MAR11:09:00:00,9,2.5
Wind Farm,25MAR11:10:00:00,10,1.9
Wind Farm,25MAR11:11:00:00,11,1.4
Wind Farm,25MAR11:12:00:00,12,1.4
Wind Farm,25MAR11:13:00:00,13,2.4
Wind Farm,25MAR11:14:00:00,14,3.3
Wind Farm,25MAR11:15:00:00,15,3.7
Wind Farm,25MAR11:16:00:00,16,3.5
Wind Farm,25MAR11:17:00:00,17,3.7
Wind Farm,25MAR11:18:00:00,18,3.7
Wind Farm,25MAR11:19:00:00,19,3.6
Wind Farm,25MAR11:20:00:00,20,3.2
Wind Farm,25MAR11:21:00:00,21,3.5
Wind Farm,25MAR11:22:00:00,22,5.0
Wind Farm,25MAR11:23:00:00,23,5.3
Wind Farm,26MAR11:00:00:00,0,4.4
Wind Farm,26MAR11:01:00:00,1,4.6
Wind Farm,26MAR11:02:00:00,2,5.3
Wind Farm,26MAR11:03:00:00,3,5.2
Wind Farm,26MAR11:04:00:00,4,4.7
Wind Farm,26MAR11:05:00:00,5,4.7
Wind Farm,26MAR11:06:00:00,6,4.2
Wind Farm,26MAR11:07:00:00,7,4.9
Wind Farm,26MAR11:08:00:00,8,4.3
Wind Farm,26MAR11:09:00:00,9,5.0
Wind Farm,26MAR11:10:00:00,10,4.1
Wind Farm,26MAR11:11:00:00,11,3.7
Wind Farm,26MAR11:12:00:00,12,3.5
Wind Farm,26MAR11:13:00:00,13,4.2
Wind Farm,26MAR11:14:00:00,14,4.9
Wind Farm,26MAR11:15:00:00,15,4.6
Wind Farm,26MAR11:16:00:00,16,4.7
Wind Farm,26MAR11:17:00:00,17,4.4
Wind Farm,26MAR11:18:00:00,18,5.7
Wind Farm,26MAR11:19:00:00,19,7.2
Wind Farm,26MAR11:20:00:00,20,7.1
Wind Farm,26MAR11:21:00:00,21,6.4
Wind Farm,26MAR11:22:00:00,22,6.1
Wind Farm,26MAR11:23:00:00,23,5.8
Wind Farm,27MAR11:00:00:00,0,5.3
Wind Farm,27MAR11:01:00:00,1,5.7
Wind Farm,27MAR11:02:00:00,2,2.7
Wind Farm,27MAR11:03:00:00,3,5.6
Wind Farm,27MAR11:04:00:00,4,5.6
Wind Farm,27MAR11:05:00:00,5,6.4
Wind Farm,27MAR11:06:00:00,6,4.9
Wind Farm,27MAR11:07:00:00,7,4.9
Wind Farm,27MAR11:08:00:00,8,4.9
Wind Farm,27MAR11:09:00:00,9,5.5
Wind Farm,27MAR11:10:00:00,10,4.7
Wind Farm,27MAR11:11:00:00,11,2.9
Wind Farm,27MAR11:12:00:00,12,3.1
Wind Farm,27MAR11:13:00:00,13,3.3
Wind Farm,27MAR11:14:00:00,14,3.4
Wind Farm,27MAR11:15:00:00,15,3.3
Wind Farm,27MAR11:16:00:00,16,3.2
Wind Farm,27MAR11:17:00:00,17,3.3
Wind Farm,27MAR11:18:00:00,18,3.5
Wind Farm,27MAR11:19:00:00,19,3.6
Wind Farm,27MAR11:20:00:00,20,3.9
Wind Farm,27MAR11:21:00:00,21,4.2
Wind Farm,27MAR11:22:00:00,22,5.6
Wind Farm,27MAR11:23:00:00,23,5.9
Wind Farm,28MAR11:00:00:00,0,6.5
Wind Farm,28MAR11:01:00:00,1,5.2
Wind Farm,28MAR11:02:00:00,2,4.3
Wind Farm,28MAR11:03:00:00,3,3.9
Wind Farm,28MAR11:04:00:00,4,3.9
Wind Farm,28MAR11:05:00:00,5,4.1
Wind Farm,28MAR11:06:00:00,6,4.4
Wind Farm,28MAR11:07:00:00,7,3.5
Wind Farm,28MAR11:08:00:00,8,4.1
Wind Farm,28MAR11:09:00:00,9,5.1
Wind Farm,28MAR11:10:00:00,10,3.3
Wind Farm,28MAR11:11:00:00,11,2.7
Wind Farm,28MAR11:12:00:00,12,2.6
Wind Farm,28MAR11:13:00:00,13,2.8
Wind Farm,28MAR11:14:00:00,14,2.7
Wind Farm,28MAR11:15:00:00,15,4.0
Wind Farm,28MAR11:16:00:00,16,3.9
Wind Farm,28MAR11:17:00:00,17,3.6
Wind Farm,28MAR11:18:00:00,18,3.6
Wind Farm,28MAR11:19:00:00,19,3.2
Wind Farm,28MAR11:20:00:00,20,3.8
Wind Farm,28MAR11:21:00:00,21,3.0
Wind Farm,28MAR11:22:00:00,22,3.1
Wind Farm,28MAR11:23:00:00,23,4.1
Wind Farm,29MAR11:00:00:00,0,4.6
Wind Farm,29MAR11:01:00:00,1,5.3
Wind Farm,29MAR11:02:00:00,2,4.6
Wind Farm,29MAR11:03:00:00,3,4.8
Wind Farm,29MAR11:04:00:00,4,4.5
Wind Farm,29MAR11:05:00:00,5,4.2
Wind Farm,29MAR11:06:00:00,6,4.0
Wind Farm,29MAR11:07:00:00,7,4.1
Wind Farm,29MAR11:08:00:00,8,3.9
Wind Farm,29MAR11:09:00:00,9,3.7
Wind Farm,29MAR11:10:00:00,10,2.1
Wind Farm,29MAR11:11:00:00,11,1.9
Wind Farm,29MAR11:12:00:00,12,2.0
Wind Farm,29MAR11:13:00:00,13,2.6
Wind Farm,29MAR11:14:00:00,14,2.8
Wind Farm,29MAR11:15:00:00,15,3.1
Wind Farm,29MAR11:16:00:00,16,2.6
Wind Farm,29MAR11:17:00:00,17,2.1
Wind Farm,29MAR11:18:00:00,18,1.9
Wind Farm,29MAR11:19:00:00,19,2.2
Wind Farm,29MAR11:20:00:00,20,2.5
Wind Farm,29MAR11:21:00:00,21,3.4
Wind Farm,29MAR11:22:00:00,22,3.6
Wind Farm,29MAR11:23:00:00,23,4.7
Wind Farm,30MAR11:00:00:00,0,5.1
Wind Farm,30MAR11:01:00:00,1,5.5
Wind Farm,30MAR11:02:00:00,2,3.7
Wind Farm,30MAR11:03:00:00,3,2.7
Wind Farm,30MAR11:04:00:00,4,4.1
Wind Farm,30MAR11:05:00:00,5,5.6
Wind Farm,30MAR11:06:00:00,6,5.3
Wind Farm,30MAR11:07:00:00,7,5.2
Wind Farm,30MAR11:08:00:00,8,5.7
Wind Farm,30MAR11:09:00:00,9,5.1
Wind Farm,30MAR11:10:00:00,10,7.5
Wind Farm,30MAR11:11:00:00,11,7.5
Wind Farm,30MAR11:12:00:00,12,8.3
Wind Farm,30MAR11:13:00:00,13,7.9
Wind Farm,30MAR11:14:00:00,14,5.1
Wind Farm,30MAR11:15:00:00,15,4.4
Wind Farm,30MAR11:16:00:00,16,5.9
Wind Farm,30MAR11:17:00:00,17,6.3
Wind Farm,30MAR11:18:00:00,18,6.5
Wind Farm,30MAR11:19:00:00,19,5.7
Wind Farm,30MAR11:20:00:00,20,5.7
Wind Farm,30MAR11:21:00:00,21,5.7
Wind Farm,30MAR11:22:00:00,22,6.4
Wind Farm,30MAR11:23:00:00,23,7.3
