Date,Hour,Electricity_KW_HR
01/04/2010,16,14186.16
01/04/2010,17,5898
01/05/2010,10,12421.86
01/05/2010,11,14210.46
01/05/2010,12,14723.64
01/05/2010,13,13625.16
01/05/2010,14,20007.08
01/05/2010,15,19501.94
01/05/2010,16,12511.12
01/05/2010,17,4400.84
01/06/2010,10,9522.26
01/06/2010,11,14295.44
01/06/2010,12,18739.66
01/06/2010,13,26164.36
01/06/2010,14,37008.6
01/06/2010,15,33488.7
01/06/2010,16,18329.84
01/06/2010,17,6352.52
01/07/2010,10,10114.34
01/07/2010,11,19204.96
01/07/2010,12,19687.72
01/07/2010,13,21446
01/07/2010,14,16248.42
01/07/2010,15,7739.1
01/07/2010,16,1372.92
01/08/2010,10,4979.204153
01/08/2010,11,7590.68
01/08/2010,12,13824.98
01/08/2010,13,20624
01/08/2010,14,21511.12
01/08/2010,15,20099.38
01/08/2010,16,18016
01/08/2010,17,9522.16
01/09/2010,10,37558.26
01/09/2010,11,96435.48
01/09/2010,12,147798.38
01/09/2010,13,173552.06
01/09/2010,14,170306.06
01/09/2010,15,156550.82
01/09/2010,16,122563.86
01/09/2010,17,61592.86
01/10/2010,10,41510.26
01/10/2010,11,93251.84
01/10/2010,12,158242.18
01/10/2010,13,178238.7
01/10/2010,14,145492.52
01/10/2010,15,157734.86
01/10/2010,16,122940.84
01/10/2010,17,56321.84
01/11/2010,12,5.0922246377
01/11/2010,13,320.42583333
01/11/2010,14,1420.9889362
01/11/2010,15,12604.3
01/11/2010,16,10666.58
01/11/2010,17,3947.530971
01/12/2010,10,9066.82
01/12/2010,11,22946.18
01/12/2010,12,49661.16
01/12/2010,13,73261.94
01/12/2010,14,63374.6
01/12/2010,15,47015.98
01/12/2010,16,43048.02
01/12/2010,17,11762.74
01/13/2010,10,45304.9
01/13/2010,11,92850.26
01/13/2010,12,128096.28
01/13/2010,13,152430.22
01/13/2010,14,155163.48
01/13/2010,15,142348.3
01/13/2010,16,107766.7
01/13/2010,17,51508.96
01/14/2010,10,43818.08
01/14/2010,11,103257.7
01/14/2010,12,146213.9
01/14/2010,13,149018.26
01/14/2010,14,95080.3
01/14/2010,15,105494.38
01/14/2010,16,42619.64
01/14/2010,17,6453.14
01/15/2010,10,15271.18
01/15/2010,11,47189.78
01/15/2010,12,75972
01/15/2010,13,79475.04
01/15/2010,14,157763.7
01/15/2010,15,154660.08
01/15/2010,16,123451.28
01/15/2010,17,70152.62
01/16/2010,10,8875.3
01/16/2010,11,19227.14
01/16/2010,12,25544.18
01/16/2010,13,26884.46
01/16/2010,14,26309.56
01/16/2010,15,22680.26
01/16/2010,16,15751.88
01/16/2010,17,8305.2
01/17/2010,10,5241.56
01/17/2010,11,11294.58
01/17/2010,12,21654.84
01/17/2010,13,27577.36
01/17/2010,14,36972.72
01/17/2010,15,52900.92
01/17/2010,16,86435.38
01/17/2010,17,44273.66
01/18/2010,10,5059.5
01/18/2010,11,12650.22
01/18/2010,12,13940.72
01/18/2010,13,20418.9
01/18/2010,14,22814.96
01/18/2010,15,25494.62
01/18/2010,16,22919.78
01/18/2010,17,8742.58
01/19/2010,10,49463.6
01/19/2010,11,63870.56
01/19/2010,12,56841.62
01/19/2010,13,49911.12
01/19/2010,14,50335.56
01/19/2010,15,36258.32
01/19/2010,16,14941.28
01/19/2010,17,5680.66
01/20/2010,10,33251.36
01/20/2010,11,123044.32
01/20/2010,12,161470.24
01/20/2010,13,145944.82
01/20/2010,14,97975.56
01/20/2010,15,41307.46
01/20/2010,16,46718.66
01/20/2010,17,23967.74
01/21/2010,10,10562.52
01/21/2010,11,16690.16
01/21/2010,12,41140.68
01/21/2010,13,91694.16
01/21/2010,14,110243.82
01/21/2010,15,125194.22
01/21/2010,16,81367.34
01/21/2010,17,53586.44
