Location,Year,Month,Day,Hour,Cloud_Cover_Fraction,Dew_Point,Humidity_Fraction,Precipitation,Pressure,Temperature,Visibility,Wind_Speed
Solar Array,2010,1,1,0,1,-8.9,0.805,0,991.2,-6.1,9.656,6.7
Solar Array,2010,1,1,1,1,-8.3,0.8437,0,990.9,-6.1,6.437,5.1
Solar Array,2010,1,1,2,1,-7.8,0.8443,0,990.9,-5.6,9.656,5.1
Solar Array,2010,1,1,3,1,-7.8,0.8066,0,991.6,-5,16.093,5.1
Solar Array,2010,1,1,4,1,-7.8,0.8066,0,991.9,-5,16.093,4.1
Solar Array,2010,1,1,5,1,-7.8,0.8066,0,991.9,-5,16.093,4.1
Solar Array,2010,1,1,6,1,-8.3,0.7759,0,992.6,-5,16.093,5.7
Solar Array,2010,1,1,7,1,-8.9,0.7403,0,993.2,-5,16.093,5.7
Solar Array,2010,1,1,8,0.25,-10.6,0.7038,0,993.6,-6.1,16.093,7.7
Solar Array,2010,1,1,9,0.9,-11.7,0.6445,0,993.9,-6.1,16.093,8.2
Solar Array,2010,1,1,10,1,-10.6,0.7038,0,994.9,-6.1,16.093,7.2
Solar Array,2010,1,1,11,1,-11.7,0.6445,0,995.2,-6.1,16.093,6.7
Solar Array,2010,1,1,12,0.5,-13.3,0.5929,0,995.2,-6.7,16.093,8.2
Solar Array,2010,1,1,13,0.25,-13.3,0.5662,0,994.9,-6.1,16.093,6.7
Solar Array,2010,1,1,14,0,-16.7,0.4273,0,994.9,-6.1,16.093,6.7
Solar Array,2010,1,1,15,0,-15.6,0.4685,0,995.2,-6.1,16.093,6.7
Solar Array,2010,1,1,16,0,-15,0.5156,0,995.9,-6.7,16.093,7.2
Solar Array,2010,1,1,17,0.9,-15.6,0.5099,0,996.6,-7.2,16.093,7.2
Solar Array,2010,1,1,18,1,-15.6,0.5341,0,997.2,-7.8,16.093,7.2
Solar Array,2010,1,1,19,0.9,-15,0.5837,0,997.2,-8.3,16.093,4.6
Solar Array,2010,1,1,20,1,-15,0.5837,0,997.6,-8.3,16.093,5.1
Solar Array,2010,1,1,21,0.9,-15,0.6117,0,997.6,-8.9,16.093,4.6
Solar Array,2010,1,1,22,0,-15,0.6671,0,997.6,-10,16.093,5.1
Solar Array,2010,1,1,23,0,-15.6,0.6347,0,997.6,-10,16.093,5.1
Solar Array,2010,1,2,0,0,-15.6,0.6928,0,997.9,-11.1,16.093,3.1
Solar Array,2010,1,2,1,0,-15,0.7281,0,997.6,-11.1,16.093,3.6
Solar Array,2010,1,2,2,0.25,-14.4,0.7651,0,997.6,-11.1,16.093,4.6
Solar Array,2010,1,2,3,0,-15,0.6997,0,997.9,-10.6,16.093,5.7
Solar Array,2010,1,2,4,0.25,-15.6,0.6657,0,997.9,-10.6,16.093,5.7
Solar Array,2010,1,2,5,0.25,-16.1,0.6972,0,997.9,-11.7,16.093,5.1
Solar Array,2010,1,2,6,0,-17.2,0.6618,0,998.9,-12.2,16.093,5.1
Solar Array,2010,1,2,7,0,-18.9,0.6576,0,999.6,-13.9,16.093,6.2
Solar Array,2010,1,2,8,0,-19.4,0.6563,0,1000.2,-14.4,16.093,5.7
Solar Array,2010,1,2,9,0,-19.4,0.6897,0,1000.9,-15,16.093,5.7
Solar Array,2010,1,2,10,0,-20,0.6232,0,1001.5,-14.4,16.093,7.2
Solar Array,2010,1,2,11,0,-21.1,0.5435,0,1001.9,-13.9,16.093,8.8
Solar Array,2010,1,2,12,0,-21.1,0.5435,0,1001.2,-13.9,16.093,8.8
Solar Array,2010,1,2,13,0,-21.1,0.5175,0,1000.5,-13.3,16.093,6.7
Solar Array,2010,1,2,14,0,-21.1,0.4733,0,999.9,-12.2,16.093,7.2
